timestamp,stage,method,candidate_rank,run_idx,F1Mi_mean,F1Mi_std,F1Ma_mean,F1Ma_std,robust_score,delta_vs_grace,grid_csv,params_json,notes
2026-04-10 12:17:04,baseline,grace,0,1,0.702900,0.005800,0.642300,0.006900,0.700000,0.000000,,"{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""tau"": 0.9}",baseline reference
2026-04-10 12:17:19,baseline,grace,0,2,0.713000,0.007400,0.628500,0.012400,0.709300,0.000000,,"{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""tau"": 0.9}",baseline reference
2026-04-10 12:17:36,baseline,grace,0,3,0.710000,0.009600,0.647900,0.012000,0.705200,0.000000,,"{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""tau"": 0.9}",baseline reference
2026-04-10 12:39:06,top_verify,sg-gr,1,1,0.713900,0.010600,0.641000,0.010300,0.708600,0.003767,results/grid_search_sggr_citeseer_results.csv,"{""timestamp"": ""2026-04-10 12:38:48"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""8"", ""unlabeled_weight"": ""0.5"", ""warmup_epochs"": ""60"", ""tau"": ""0.7"", ""update_interval"": ""3"", ""beta"": ""2.5"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""30"", ""F1Mi_mean"": ""0.717000"", ""F1Mi_std"": ""0.002100"", ""F1Ma_mean"": ""0.639400"", ""F1Ma_std"": ""0.006500"", ""robust_score"": ""0.715950"", ""delta_vs_grace"": ""0.006950""}",
2026-04-10 12:39:23,top_verify,sg-gr,1,2,0.701200,0.004600,0.633400,0.016100,0.698900,-0.005933,results/grid_search_sggr_citeseer_results.csv,"{""timestamp"": ""2026-04-10 12:38:48"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""8"", ""unlabeled_weight"": ""0.5"", ""warmup_epochs"": ""60"", ""tau"": ""0.7"", ""update_interval"": ""3"", ""beta"": ""2.5"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""30"", ""F1Mi_mean"": ""0.717000"", ""F1Mi_std"": ""0.002100"", ""F1Ma_mean"": ""0.639400"", ""F1Ma_std"": ""0.006500"", ""robust_score"": ""0.715950"", ""delta_vs_grace"": ""0.006950""}",
2026-04-10 12:39:40,top_verify,sg-gr,1,3,0.706600,0.000200,0.654800,0.002400,0.706500,0.001667,results/grid_search_sggr_citeseer_results.csv,"{""timestamp"": ""2026-04-10 12:38:48"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""8"", ""unlabeled_weight"": ""0.5"", ""warmup_epochs"": ""60"", ""tau"": ""0.7"", ""update_interval"": ""3"", ""beta"": ""2.5"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""30"", ""F1Mi_mean"": ""0.717000"", ""F1Mi_std"": ""0.002100"", ""F1Ma_mean"": ""0.639400"", ""F1Ma_std"": ""0.006500"", ""robust_score"": ""0.715950"", ""delta_vs_grace"": ""0.006950""}",
2026-04-10 12:39:57,top_verify,sg-gr,2,1,0.710700,0.000900,0.641200,0.013100,0.710250,0.005417,results/grid_search_sggr_citeseer_results.csv,"{""timestamp"": ""2026-04-10 12:38:48"", ""similarity_percentile"": ""99.3"", ""max_du_per_node"": ""12"", ""unlabeled_weight"": ""0.3"", ""warmup_epochs"": ""80"", ""tau"": ""0.7"", ""update_interval"": ""3"", ""beta"": ""2.5"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""30"", ""F1Mi_mean"": ""0.715100"", ""F1Mi_std"": ""0.001000"", ""F1Ma_mean"": ""0.641200"", ""F1Ma_std"": ""0.005300"", ""robust_score"": ""0.714600"", ""delta_vs_grace"": ""0.005600""}",
2026-04-10 12:40:14,top_verify,sg-gr,2,2,0.706200,0.004800,0.630100,0.008900,0.703800,-0.001033,results/grid_search_sggr_citeseer_results.csv,"{""timestamp"": ""2026-04-10 12:38:48"", ""similarity_percentile"": ""99.3"", ""max_du_per_node"": ""12"", ""unlabeled_weight"": ""0.3"", ""warmup_epochs"": ""80"", ""tau"": ""0.7"", ""update_interval"": ""3"", ""beta"": ""2.5"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""30"", ""F1Mi_mean"": ""0.715100"", ""F1Mi_std"": ""0.001000"", ""F1Ma_mean"": ""0.641200"", ""F1Ma_std"": ""0.005300"", ""robust_score"": ""0.714600"", ""delta_vs_grace"": ""0.005600""}",
2026-04-10 12:40:31,top_verify,sg-gr,2,3,0.707300,0.003300,0.619800,0.009100,0.705650,0.000817,results/grid_search_sggr_citeseer_results.csv,"{""timestamp"": ""2026-04-10 12:38:48"", ""similarity_percentile"": ""99.3"", ""max_du_per_node"": ""12"", ""unlabeled_weight"": ""0.3"", ""warmup_epochs"": ""80"", ""tau"": ""0.7"", ""update_interval"": ""3"", ""beta"": ""2.5"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""30"", ""F1Mi_mean"": ""0.715100"", ""F1Mi_std"": ""0.001000"", ""F1Ma_mean"": ""0.641200"", ""F1Ma_std"": ""0.005300"", ""robust_score"": ""0.714600"", ""delta_vs_grace"": ""0.005600""}",
2026-04-10 12:40:48,top_verify,sg-gr,3,1,0.712000,0.004800,0.640200,0.016000,0.709600,0.004767,results/grid_search_sggr_citeseer_results.csv,"{""timestamp"": ""2026-04-10 12:38:48"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""8"", ""unlabeled_weight"": ""0.3"", ""warmup_epochs"": ""60"", ""tau"": ""0.9"", ""update_interval"": ""3"", ""beta"": ""2.5"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""30"", ""F1Mi_mean"": ""0.717400"", ""F1Mi_std"": ""0.005700"", ""F1Ma_mean"": ""0.639700"", ""F1Ma_std"": ""0.021700"", ""robust_score"": ""0.714550"", ""delta_vs_grace"": ""0.005550""}",
