timestamp,stage,method,candidate_rank,run_idx,F1Mi_mean,F1Mi_std,F1Ma_mean,F1Ma_std,robust_score,delta_vs_grace,grid_csv,params_json,notes
2026-04-10 11:28:12,baseline,grace,0,1,0.826000,0.006900,0.805200,0.008600,0.822550,0.000000,,"{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.6, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""tau"": 0.8}",baseline reference
2026-04-10 11:28:25,baseline,grace,0,2,0.824000,0.006400,0.810400,0.006700,0.820800,0.000000,,"{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.6, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""tau"": 0.8}",baseline reference
2026-04-10 11:28:38,baseline,grace,0,3,0.830200,0.008700,0.811000,0.020600,0.825850,0.000000,,"{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.6, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""tau"": 0.8}",baseline reference
2026-04-10 11:40:37,top_verify,sg-gr,1,1,0.834000,0.011800,0.816100,0.014200,0.828100,0.005033,results/grid_search_sggr_cora_results.csv,"{""timestamp"": ""2026-04-10 11:40:23"", ""similarity_percentile"": ""99.7"", ""max_du_per_node"": ""12"", ""unlabeled_weight"": ""0.3"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""F1Mi_mean"": ""0.852300"", ""F1Mi_std"": ""0.000900"", ""F1Ma_mean"": ""0.839100"", ""F1Ma_std"": ""0.004000"", ""robust_score"": ""0.851850"", ""delta_vs_grace"": ""0.019750""}",
2026-04-10 11:40:52,top_verify,sg-gr,1,2,0.842400,0.011300,0.830200,0.009200,0.836750,0.013683,results/grid_search_sggr_cora_results.csv,"{""timestamp"": ""2026-04-10 11:40:23"", ""similarity_percentile"": ""99.7"", ""max_du_per_node"": ""12"", ""unlabeled_weight"": ""0.3"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""F1Mi_mean"": ""0.852300"", ""F1Mi_std"": ""0.000900"", ""F1Ma_mean"": ""0.839100"", ""F1Ma_std"": ""0.004000"", ""robust_score"": ""0.851850"", ""delta_vs_grace"": ""0.019750""}",
2026-04-10 11:41:06,top_verify,sg-gr,1,3,0.844400,0.012100,0.834600,0.013000,0.838350,0.015283,results/grid_search_sggr_cora_results.csv,"{""timestamp"": ""2026-04-10 11:40:23"", ""similarity_percentile"": ""99.7"", ""max_du_per_node"": ""12"", ""unlabeled_weight"": ""0.3"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""F1Mi_mean"": ""0.852300"", ""F1Mi_std"": ""0.000900"", ""F1Ma_mean"": ""0.839100"", ""F1Ma_std"": ""0.004000"", ""robust_score"": ""0.851850"", ""delta_vs_grace"": ""0.019750""}",
2026-04-10 11:41:20,top_verify,sg-gr,2,1,0.824900,0.009900,0.813900,0.010700,0.819950,-0.003117,results/grid_search_sggr_cora_results.csv,"{""timestamp"": ""2026-04-10 11:40:23"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.2"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""F1Mi_mean"": ""0.845500"", ""F1Mi_std"": ""0.000500"", ""F1Ma_mean"": ""0.829300"", ""F1Ma_std"": ""0.000700"", ""robust_score"": ""0.845250"", ""delta_vs_grace"": ""0.013150""}",
2026-04-10 11:41:34,top_verify,sg-gr,2,2,0.832900,0.005200,0.819600,0.007500,0.830300,0.007233,results/grid_search_sggr_cora_results.csv,"{""timestamp"": ""2026-04-10 11:40:23"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.2"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""F1Mi_mean"": ""0.845500"", ""F1Mi_std"": ""0.000500"", ""F1Ma_mean"": ""0.829300"", ""F1Ma_std"": ""0.000700"", ""robust_score"": ""0.845250"", ""delta_vs_grace"": ""0.013150""}",
2026-04-10 11:41:48,top_verify,sg-gr,2,3,0.842100,0.006400,0.824700,0.009400,0.838900,0.015833,results/grid_search_sggr_cora_results.csv,"{""timestamp"": ""2026-04-10 11:40:23"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.2"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""F1Mi_mean"": ""0.845500"", ""F1Mi_std"": ""0.000500"", ""F1Ma_mean"": ""0.829300"", ""F1Ma_std"": ""0.000700"", ""robust_score"": ""0.845250"", ""delta_vs_grace"": ""0.013150""}",
2026-04-10 11:42:03,top_verify,sg-gr,3,1,0.843200,0.007000,0.828900,0.004500,0.839700,0.016633,results/grid_search_sggr_cora_results.csv,"{""timestamp"": ""2026-04-10 11:40:23"", ""similarity_percentile"": ""99.7"", ""max_du_per_node"": ""16"", ""unlabeled_weight"": ""0.2"", ""warmup_epochs"": ""100"", ""tau"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""F1Mi_mean"": ""0.846300"", ""F1Mi_std"": ""0.002800"", ""F1Ma_mean"": ""0.832400"", ""F1Ma_std"": ""0.003900"", ""robust_score"": ""0.844900"", ""delta_vs_grace"": ""0.012800""}",
