timestamp,stage,method,candidate_rank,run_idx,F1Mi_mean,F1Mi_std,F1Ma_mean,F1Ma_std,robust_score,delta_vs_grace,grid_csv,params_json,notes
2026-04-11 20:10:51,baseline,grace,0,1,0.720400,0.004200,0.637100,0.014800,0.718300,0.000000,,"{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.7, ""drop_feature_rate_1"": 0.6, ""drop_feature_rate_2"": 0.7, ""tau"": 0.3}",baseline reference
2026-04-11 20:11:11,baseline,grace,0,2,0.703500,0.015400,0.617300,0.020000,0.695800,0.000000,,"{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.7, ""drop_feature_rate_1"": 0.6, ""drop_feature_rate_2"": 0.7, ""tau"": 0.3}",baseline reference
2026-04-11 20:11:31,baseline,grace,0,3,0.705600,0.009300,0.609300,0.011300,0.700950,0.000000,,"{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.7, ""drop_feature_rate_1"": 0.6, ""drop_feature_rate_2"": 0.7, ""tau"": 0.3}",baseline reference
2026-04-11 21:23:18,top_verify,sg-gr,1,1,0.728500,0.004200,0.639200,0.005500,0.726400,0.021383,results/grid_search_sggr_dblp_results.csv,"{""timestamp"": ""2026-04-11 21:19:10"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.3"", ""warmup_epochs"": ""100"", ""tau"": ""0.8"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""F1Mi_mean"": ""0.726000"", ""F1Mi_std"": ""0.002300"", ""F1Ma_mean"": ""0.638600"", ""F1Ma_std"": ""0.010800"", ""robust_score"": ""0.724850"", ""delta_vs_grace"": ""0.023650""}",
2026-04-11 21:27:24,top_verify,sg-gr,1,2,0.713700,0.008400,0.637200,0.005100,0.709500,0.004483,results/grid_search_sggr_dblp_results.csv,"{""timestamp"": ""2026-04-11 21:19:10"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.3"", ""warmup_epochs"": ""100"", ""tau"": ""0.8"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""F1Mi_mean"": ""0.726000"", ""F1Mi_std"": ""0.002300"", ""F1Ma_mean"": ""0.638600"", ""F1Ma_std"": ""0.010800"", ""robust_score"": ""0.724850"", ""delta_vs_grace"": ""0.023650""}",
2026-04-11 21:31:34,top_verify,sg-gr,1,3,0.731900,0.002900,0.641300,0.013600,0.730450,0.025433,results/grid_search_sggr_dblp_results.csv,"{""timestamp"": ""2026-04-11 21:19:10"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.3"", ""warmup_epochs"": ""100"", ""tau"": ""0.8"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""F1Mi_mean"": ""0.726000"", ""F1Mi_std"": ""0.002300"", ""F1Ma_mean"": ""0.638600"", ""F1Ma_std"": ""0.010800"", ""robust_score"": ""0.724850"", ""delta_vs_grace"": ""0.023650""}",
2026-04-11 21:35:28,top_verify,sg-gr,2,1,0.720900,0.010900,0.649100,0.007100,0.715450,0.010433,results/grid_search_sggr_dblp_results.csv,"{""timestamp"": ""2026-04-11 21:19:10"", ""similarity_percentile"": ""99.7"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.2"", ""warmup_epochs"": ""100"", ""tau"": ""0.8"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""F1Mi_mean"": ""0.727500"", ""F1Mi_std"": ""0.009100"", ""F1Ma_mean"": ""0.640000"", ""F1Ma_std"": ""0.005300"", ""robust_score"": ""0.722950"", ""delta_vs_grace"": ""0.021750""}",
2026-04-11 21:39:25,top_verify,sg-gr,2,2,0.734400,0.001500,0.655700,0.007000,0.733650,0.028633,results/grid_search_sggr_dblp_results.csv,"{""timestamp"": ""2026-04-11 21:19:10"", ""similarity_percentile"": ""99.7"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.2"", ""warmup_epochs"": ""100"", ""tau"": ""0.8"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""F1Mi_mean"": ""0.727500"", ""F1Mi_std"": ""0.009100"", ""F1Ma_mean"": ""0.640000"", ""F1Ma_std"": ""0.005300"", ""robust_score"": ""0.722950"", ""delta_vs_grace"": ""0.021750""}",
2026-04-11 21:43:23,top_verify,sg-gr,2,3,0.721700,0.012600,0.647600,0.017800,0.715400,0.010383,results/grid_search_sggr_dblp_results.csv,"{""timestamp"": ""2026-04-11 21:19:10"", ""similarity_percentile"": ""99.7"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.2"", ""warmup_epochs"": ""100"", ""tau"": ""0.8"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""F1Mi_mean"": ""0.727500"", ""F1Mi_std"": ""0.009100"", ""F1Ma_mean"": ""0.640000"", ""F1Ma_std"": ""0.005300"", ""robust_score"": ""0.722950"", ""delta_vs_grace"": ""0.021750""}",
2026-04-11 21:47:37,top_verify,sg-gr,3,1,0.715700,0.005900,0.641000,0.018900,0.712750,0.007733,results/grid_search_sggr_dblp_results.csv,"{""timestamp"": ""2026-04-11 21:19:10"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""12"", ""unlabeled_weight"": ""0.2"", ""warmup_epochs"": ""100"", ""tau"": ""0.8"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""F1Mi_mean"": ""0.723200"", ""F1Mi_std"": ""0.001400"", ""F1Ma_mean"": ""0.635600"", ""F1Ma_std"": ""0.010900"", ""robust_score"": ""0.722500"", ""delta_vs_grace"": ""0.021300""}",
