timestamp,stage,dataset,method,base_method,run_idx,seed,num_runs,num_epochs_config,epochs_observed,wall_time_sec,wall_time_std_sec,train_total_sec,train_total_std_sec,eval_overhead_sec,epoch_time_mean_sec,epoch_time_std_sec,epoch_time_last_sec,epoch_time_median_sec,throughput_epoch_per_sec,refresh_count,refresh_epoch_time_mean_sec,non_refresh_epoch_time_mean_sec,warmup_epoch_time_mean_sec,corrected_epoch_time_mean_sec,time_vs_grace_sec,time_ratio_vs_grace,overhead_vs_base_sec,overhead_ratio_vs_base,F1Mi_mean,F1Mi_std,F1Ma_mean,F1Ma_std,robust_score,robust_score_std,base_params_json,trial_params_json,notes
2026-05-21 23:34:55,run,CiteSeer,grace,,1,38109,,200,200,26.132179,,4.368800,,21.763379,0.021845,0.089865,0.014700,0.014700,45.779161,0,,0.021845,,,,,,,0.711000,0.006000,0.656600,0.006900,0.708000,,"{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""tau"": 0.9}","{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""seed"": 38109, ""tau"": 0.9}",base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=0; base_robust=0.704833
2026-05-21 23:35:22,run,CiteSeer,grace,,2,38110,,200,200,26.945323,,4.260400,,22.684923,0.021298,0.086511,0.015700,0.014900,46.943949,0,,0.021298,,,,,,,0.701300,0.012500,0.636700,0.013500,0.695050,,"{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""tau"": 0.9}","{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""seed"": 38110, ""tau"": 0.9}",base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=0; base_robust=0.704833
2026-05-21 23:35:49,run,CiteSeer,grace,,3,38111,,200,200,26.792623,,4.330600,,22.462023,0.021651,0.089494,0.014500,0.015100,46.182977,0,,0.021651,,,,,,,0.724500,0.000800,0.652400,0.014600,0.724100,,"{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""tau"": 0.9}","{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""seed"": 38111, ""tau"": 0.9}",base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=0; base_robust=0.704833
2026-05-21 23:36:15,run,CiteSeer,gca,grace,1,38109,,200,200,26.112672,,4.272600,,21.840072,0.021366,0.086978,0.014600,0.014900,46.809905,0,,0.021366,,,,,,,0.723700,0.004200,0.646900,0.008700,0.721600,,"{""F1Ma_mean"": ""0.659700"", ""F1Ma_std"": ""0.011800"", ""F1Mi_mean"": ""0.715300"", ""F1Mi_std"": ""0.002000"", ""delta_vs_grace"": ""-0.000500"", ""drop_edge_rate_1"": ""0.7"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.4"", ""drop_feature_rate_2"": ""0.5"", ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": ""200"", ""robust_score"": ""0.714300"", ""tau"": ""1.0"", ""timestamp"": ""2026-04-10 12:43:46""}","{""drop_edge_rate_1"": 0.7, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.4, ""drop_feature_rate_2"": 0.5, ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": 200, ""seed"": 38109, ""tau"": 1.0}",base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=3; base_robust=0.714883
2026-05-21 23:36:41,run,CiteSeer,gca,grace,2,38110,,200,200,26.518445,,4.358400,,22.160045,0.021795,0.091073,0.015800,0.015100,45.888399,0,,0.021795,,,,,,,0.718500,0.001400,0.648500,0.008100,0.717800,,"{""F1Ma_mean"": ""0.659700"", ""F1Ma_std"": ""0.011800"", ""F1Mi_mean"": ""0.715300"", ""F1Mi_std"": ""0.002000"", ""delta_vs_grace"": ""-0.000500"", ""drop_edge_rate_1"": ""0.7"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.4"", ""drop_feature_rate_2"": ""0.5"", ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": ""200"", ""robust_score"": ""0.714300"", ""tau"": ""1.0"", ""timestamp"": ""2026-04-10 12:43:46""}","{""drop_edge_rate_1"": 0.7, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.4, ""drop_feature_rate_2"": 0.5, ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": 200, ""seed"": 38110, ""tau"": 1.0}",base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=3; base_robust=0.714883
2026-05-21 23:37:08,run,CiteSeer,gca,grace,3,38111,,200,200,26.195919,,4.231900,,21.964019,0.021162,0.087905,0.013800,0.014800,47.260096,0,,0.021162,,,,,,,0.719200,0.002400,0.637200,0.007600,0.718000,,"{""F1Ma_mean"": ""0.659700"", ""F1Ma_std"": ""0.011800"", ""F1Mi_mean"": ""0.715300"", ""F1Mi_std"": ""0.002000"", ""delta_vs_grace"": ""-0.000500"", ""drop_edge_rate_1"": ""0.7"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.4"", ""drop_feature_rate_2"": ""0.5"", ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": ""200"", ""robust_score"": ""0.714300"", ""tau"": ""1.0"", ""timestamp"": ""2026-04-10 12:43:46""}","{""drop_edge_rate_1"": 0.7, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.4, ""drop_feature_rate_2"": 0.5, ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": 200, ""seed"": 38111, ""tau"": 1.0}",base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=3; base_robust=0.714883
2026-05-21 23:37:37,run,CiteSeer,sg-gr,grace,1,38109,,200,200,29.818230,,5.463900,,24.354330,0.027321,0.092871,0.021700,0.021400,36.603891,40,0.029375,0.026807,0.031669,0.024422,,,,,0.712900,0.006700,0.666400,0.010100,0.709550,,"{""F1Ma_mean"": ""0.641200"", ""F1Ma_std"": ""0.005300"", ""F1Mi_mean"": ""0.715100"", ""F1Mi_std"": ""0.001000"", ""beta"": ""2.5"", ""corrected_ramp_epochs"": ""30"", ""delta_vs_grace"": ""0.005600"", ""max_du_per_node"": ""12"", ""robust_score"": ""0.714600"", ""similarity_percentile"": ""99.3"", ""tau"": ""0.7"", ""timestamp"": ""2026-04-10 12:38:48"", ""unlabeled_weight"": ""0.3"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""80""}","{""beta"": 2.5, ""corrected_ramp_epochs"": 30, ""max_du_per_node"": 12, ""seed"": 38109, ""similarity_percentile"": 99.3, ""similarity_threshold"": null, ""tau"": 0.7, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 80}",base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=2; base_robust=0.706567
2026-05-21 23:38:05,run,CiteSeer,sg-gr,grace,2,38110,,200,200,27.698580,,5.474000,,22.224580,0.027373,0.088415,0.022400,0.021500,36.536354,40,0.029887,0.026744,0.031256,0.024783,,,,,0.710600,0.009300,0.636100,0.010800,0.705950,,"{""F1Ma_mean"": ""0.641200"", ""F1Ma_std"": ""0.005300"", ""F1Mi_mean"": ""0.715100"", ""F1Mi_std"": ""0.001000"", ""beta"": ""2.5"", ""corrected_ramp_epochs"": ""30"", ""delta_vs_grace"": ""0.005600"", ""max_du_per_node"": ""12"", ""robust_score"": ""0.714600"", ""similarity_percentile"": ""99.3"", ""tau"": ""0.7"", ""timestamp"": ""2026-04-10 12:38:48"", ""unlabeled_weight"": ""0.3"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""80""}","{""beta"": 2.5, ""corrected_ramp_epochs"": 30, ""max_du_per_node"": 12, ""seed"": 38110, ""similarity_percentile"": 99.3, ""similarity_threshold"": null, ""tau"": 0.7, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 80}",base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=2; base_robust=0.706567
2026-05-21 23:38:33,run,CiteSeer,sg-gr,grace,3,38111,,200,200,27.452254,,5.501200,,21.951054,0.027505,0.095141,0.021400,0.021500,36.355704,40,0.029700,0.026956,0.031788,0.024650,,,,,0.723400,0.004700,0.642900,0.015300,0.721050,,"{""F1Ma_mean"": ""0.641200"", ""F1Ma_std"": ""0.005300"", ""F1Mi_mean"": ""0.715100"", ""F1Mi_std"": ""0.001000"", ""beta"": ""2.5"", ""corrected_ramp_epochs"": ""30"", ""delta_vs_grace"": ""0.005600"", ""max_du_per_node"": ""12"", ""robust_score"": ""0.714600"", ""similarity_percentile"": ""99.3"", ""tau"": ""0.7"", ""timestamp"": ""2026-04-10 12:38:48"", ""unlabeled_weight"": ""0.3"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""80""}","{""beta"": 2.5, ""corrected_ramp_epochs"": 30, ""max_du_per_node"": 12, ""seed"": 38111, ""similarity_percentile"": 99.3, ""similarity_threshold"": null, ""tau"": 0.7, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 80}",base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=2; base_robust=0.706567
2026-05-21 23:39:01,run,CiteSeer,sg-gc,gca,1,38109,,200,200,28.399988,,6.275300,,22.124688,0.031379,0.089844,0.029000,0.028500,31.870986,40,0.036417,0.030119,0.031123,0.031549,,,,,0.702400,0.009600,0.655800,0.013900,0.697600,,"{""F1Ma_mean"": ""0.662500"", ""F1Ma_std"": ""0.006000"", ""F1Mi_mean"": ""0.723700"", ""F1Mi_std"": ""0.006800"", ""beta"": ""2.5"", ""corrected_ramp_epochs"": ""30"", ""delta_vs_grace"": ""0.010650"", ""drop_edge_rate_1"": ""0.2"", ""drop_edge_rate_2"": ""0.0"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.2"", ""gca_drop_scheme"": ""degree"", ""gca_pr_k"": ""200"", ""sggc_refl_du_weight"": ""0.6"", ""max_du_per_node"": ""8"", ""robust_score"": ""0.720300"", ""similarity_percentile"": ""99.5"", ""tau"": ""0.7"", ""timestamp"": ""2026-04-10 13:05:40"", ""unlabeled_weight"": ""0.3"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""80""}","{""beta"": 2.5, ""corrected_ramp_epochs"": 30, ""drop_edge_rate_1"": 0.2, ""drop_edge_rate_2"": 0.0, ""drop_feature_rate_1"": 0.3, ""drop_feature_rate_2"": 0.2, ""gca_drop_scheme"": ""degree"", ""gca_pr_k"": 200, ""sggc_refl_du_weight"": 0.6, ""max_du_per_node"": 8, ""seed"": 38109, ""similarity_percentile"": 99.5, ""similarity_threshold"": null, ""tau"": 0.7, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 80}",base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=3; base_robust=0.714933
