timestamp,stage,dataset,method,base_method,run_idx,seed,num_runs,num_epochs_config,epochs_observed,wall_time_sec,wall_time_std_sec,train_total_sec,train_total_std_sec,eval_overhead_sec,epoch_time_mean_sec,epoch_time_std_sec,epoch_time_last_sec,epoch_time_median_sec,throughput_epoch_per_sec,refresh_count,refresh_epoch_time_mean_sec,non_refresh_epoch_time_mean_sec,warmup_epoch_time_mean_sec,corrected_epoch_time_mean_sec,time_vs_grace_sec,time_ratio_vs_grace,overhead_vs_base_sec,overhead_ratio_vs_base,F1Mi_mean,F1Mi_std,F1Ma_mean,F1Ma_std,robust_score,robust_score_std,base_params_json,trial_params_json,notes
2026-05-21 23:31:30,run,Cora,grace,,1,39789,,200,200,15.115796,,3.604700,,11.511096,0.018019,0.089938,0.012100,0.011450,55.483119,0,,0.018019,,,,,,,0.820200,0.008600,0.800100,0.011900,0.815900,,"{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.6, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""tau"": 0.8}","{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.6, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""seed"": 39789, ""tau"": 0.8}",base_source=full_pipeline; base_path=results/cora_full_pipeline_results.csv; base_rank=0; base_robust=0.823067
2026-05-21 23:31:47,run,Cora,grace,,2,39790,,200,200,16.122391,,4.040400,,12.081991,0.020200,0.093728,0.012500,0.013200,49.500050,0,,0.020200,,,,,,,0.820200,0.001700,0.804200,0.001800,0.819350,,"{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.6, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""tau"": 0.8}","{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.6, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""seed"": 39790, ""tau"": 0.8}",base_source=full_pipeline; base_path=results/cora_full_pipeline_results.csv; base_rank=0; base_robust=0.823067
2026-05-21 23:32:02,run,Cora,grace,,3,39791,,200,200,15.529480,,3.757900,,11.771580,0.018789,0.089085,0.012500,0.012350,53.221214,0,,0.018789,,,,,,,0.804900,0.009900,0.784800,0.011600,0.799950,,"{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.6, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""tau"": 0.8}","{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.6, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""seed"": 39791, ""tau"": 0.8}",base_source=full_pipeline; base_path=results/cora_full_pipeline_results.csv; base_rank=0; base_robust=0.823067
2026-05-21 23:32:18,run,Cora,gca,grace,1,39789,,200,200,16.118769,,4.179800,,11.938969,0.020896,0.089532,0.018600,0.014550,47.849179,0,,0.020896,,,,,,,0.823900,0.006000,0.806700,0.004000,0.820900,,"{""F1Ma_mean"": ""0.824300"", ""F1Ma_std"": ""0.001400"", ""F1Mi_mean"": ""0.838700"", ""F1Mi_std"": ""0.002400"", ""delta_vs_grace"": ""0.009700"", ""drop_edge_rate_1"": ""0.5"", ""drop_edge_rate_2"": ""0.7"", ""drop_feature_rate_1"": ""0.4"", ""drop_feature_rate_2"": ""0.5"", ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": ""200"", ""robust_score"": ""0.837500"", ""tau"": ""1.0"", ""timestamp"": ""2026-04-10 11:48:14""}","{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.7, ""drop_feature_rate_1"": 0.4, ""drop_feature_rate_2"": 0.5, ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": 200, ""seed"": 39789, ""tau"": 1.0}",base_source=full_pipeline; base_path=results/cora_full_pipeline_results.csv; base_rank=3; base_robust=0.830750
2026-05-21 23:32:34,run,Cora,gca,grace,2,39790,,200,200,15.893672,,3.764900,,12.128772,0.018819,0.087529,0.011600,0.012400,53.122261,0,,0.018819,,,,,,,0.832900,0.005400,0.813000,0.004400,0.830200,,"{""F1Ma_mean"": ""0.824300"", ""F1Ma_std"": ""0.001400"", ""F1Mi_mean"": ""0.838700"", ""F1Mi_std"": ""0.002400"", ""delta_vs_grace"": ""0.009700"", ""drop_edge_rate_1"": ""0.5"", ""drop_edge_rate_2"": ""0.7"", ""drop_feature_rate_1"": ""0.4"", ""drop_feature_rate_2"": ""0.5"", ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": ""200"", ""robust_score"": ""0.837500"", ""tau"": ""1.0"", ""timestamp"": ""2026-04-10 11:48:14""}","{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.7, ""drop_feature_rate_1"": 0.4, ""drop_feature_rate_2"": 0.5, ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": 200, ""seed"": 39790, ""tau"": 1.0}",base_source=full_pipeline; base_path=results/cora_full_pipeline_results.csv; base_rank=3; base_robust=0.830750
2026-05-21 23:32:50,run,Cora,gca,grace,3,39791,,200,200,15.423492,,3.544900,,11.878592,0.017723,0.089866,0.016500,0.011100,56.419081,0,,0.017723,,,,,,,0.818700,0.011900,0.795200,0.015700,0.812750,,"{""F1Ma_mean"": ""0.824300"", ""F1Ma_std"": ""0.001400"", ""F1Mi_mean"": ""0.838700"", ""F1Mi_std"": ""0.002400"", ""delta_vs_grace"": ""0.009700"", ""drop_edge_rate_1"": ""0.5"", ""drop_edge_rate_2"": ""0.7"", ""drop_feature_rate_1"": ""0.4"", ""drop_feature_rate_2"": ""0.5"", ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": ""200"", ""robust_score"": ""0.837500"", ""tau"": ""1.0"", ""timestamp"": ""2026-04-10 11:48:14""}","{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.7, ""drop_feature_rate_1"": 0.4, ""drop_feature_rate_2"": 0.5, ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": 200, ""seed"": 39791, ""tau"": 1.0}",base_source=full_pipeline; base_path=results/cora_full_pipeline_results.csv; base_rank=3; base_robust=0.830750
2026-05-21 23:33:06,run,Cora,ifl-gr,grace,1,39789,,200,200,16.123803,,4.314000,,11.809803,0.021570,0.087387,0.019400,0.015100,46.360686,34,0.019738,0.021945,0.026555,0.016584,,,,,0.830900,0.002200,0.814000,0.004500,0.829800,,"{""F1Ma_mean"": ""0.832400"", ""F1Ma_std"": ""0.003900"", ""F1Mi_mean"": ""0.846300"", ""F1Mi_std"": ""0.002800"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.012800"", ""max_du_per_node"": ""16"", ""robust_score"": ""0.844900"", ""similarity_percentile"": ""99.7"", ""tau"": ""0.4"", ""timestamp"": ""2026-04-10 11:40:23"", ""unlabeled_weight"": ""0.2"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 16, ""seed"": 39789, ""similarity_percentile"": 99.7, ""similarity_threshold"": null, ""tau"": 0.4, ""unlabeled_weight"": 0.2, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",base_source=full_pipeline; base_path=results/cora_full_pipeline_results.csv; base_rank=3; base_robust=0.839367
2026-05-21 23:33:22,run,Cora,ifl-gr,grace,2,39790,,200,200,16.145134,,4.283300,,11.861834,0.021416,0.087830,0.022300,0.015100,46.692970,34,0.021515,0.021396,0.024796,0.018037,,,,,0.832100,0.002700,0.814500,0.005000,0.830750,,"{""F1Ma_mean"": ""0.832400"", ""F1Ma_std"": ""0.003900"", ""F1Mi_mean"": ""0.846300"", ""F1Mi_std"": ""0.002800"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.012800"", ""max_du_per_node"": ""16"", ""robust_score"": ""0.844900"", ""similarity_percentile"": ""99.7"", ""tau"": ""0.4"", ""timestamp"": ""2026-04-10 11:40:23"", ""unlabeled_weight"": ""0.2"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 16, ""seed"": 39790, ""similarity_percentile"": 99.7, ""similarity_threshold"": null, ""tau"": 0.4, ""unlabeled_weight"": 0.2, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",base_source=full_pipeline; base_path=results/cora_full_pipeline_results.csv; base_rank=3; base_robust=0.839367
2026-05-21 23:33:38,run,Cora,ifl-gr,grace,3,39791,,200,200,16.431101,,4.481100,,11.950001,0.022406,0.089242,0.021700,0.016050,44.631898,34,0.021535,0.022585,0.026482,0.018331,,,,,0.828700,0.009800,0.813100,0.007700,0.823800,,"{""F1Ma_mean"": ""0.832400"", ""F1Ma_std"": ""0.003900"", ""F1Mi_mean"": ""0.846300"", ""F1Mi_std"": ""0.002800"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.012800"", ""max_du_per_node"": ""16"", ""robust_score"": ""0.844900"", ""similarity_percentile"": ""99.7"", ""tau"": ""0.4"", ""timestamp"": ""2026-04-10 11:40:23"", ""unlabeled_weight"": ""0.2"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 16, ""seed"": 39791, ""similarity_percentile"": 99.7, ""similarity_threshold"": null, ""tau"": 0.4, ""unlabeled_weight"": 0.2, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",base_source=full_pipeline; base_path=results/cora_full_pipeline_results.csv; base_rank=3; base_robust=0.839367
2026-05-21 23:33:55,run,Cora,ifl-gc,gca,1,39789,,200,200,16.709723,,4.871600,,11.838123,0.024359,0.087838,0.022300,0.019300,41.054274,40,0.026123,0.023918,0.027334,0.022375,,,,,0.826800,0.003700,0.814200,0.004700,0.824950,,"{""F1Ma_mean"": ""0.835800"", ""F1Ma_std"": ""0.003400"", ""F1Mi_mean"": ""0.848000"", ""F1Mi_std"": ""0.004300"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.018050"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""gca_drop_scheme"": ""pr"", ""gca_pr_k"": ""200"", ""iflgc_refl_du_weight"": ""0.6"", ""max_du_per_node"": ""14"", ""robust_score"": ""0.845850"", ""similarity_percentile"": ""99.5"", ""tau"": ""0.4"", ""timestamp"": ""2026-04-10 12:14:30"", ""unlabeled_weight"": ""0.2"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""80""}","{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""drop_edge_rate_1"": 0.3, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.3, ""drop_feature_rate_2"": 0.4, ""gca_drop_scheme"": ""pr"", ""gca_pr_k"": 200, ""iflgc_refl_du_weight"": 0.6, ""max_du_per_node"": 14, ""seed"": 39789, ""similarity_percentile"": 99.5, ""similarity_threshold"": null, ""tau"": 0.4, ""unlabeled_weight"": 0.2, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 80}",base_source=full_pipeline; base_path=results/cora_full_pipeline_results.csv; base_rank=1; base_robust=0.838167
