timestamp,stage,dataset,method,base_method,run_idx,seed,num_runs,num_epochs_config,epochs_observed,wall_time_sec,wall_time_std_sec,train_total_sec,train_total_std_sec,eval_overhead_sec,epoch_time_mean_sec,epoch_time_std_sec,epoch_time_last_sec,epoch_time_median_sec,throughput_epoch_per_sec,refresh_count,refresh_epoch_time_mean_sec,non_refresh_epoch_time_mean_sec,warmup_epoch_time_mean_sec,corrected_epoch_time_mean_sec,time_vs_grace_sec,time_ratio_vs_grace,overhead_vs_base_sec,overhead_ratio_vs_base,F1Mi_mean,F1Mi_std,F1Ma_mean,F1Ma_std,robust_score,robust_score_std,base_params_json,trial_params_json,notes
2026-05-21 23:40:16,run,PubMed,grace,,1,23345,,200,200,16.505040,,5.386400,,11.118640,0.026933,0.087974,0.013600,0.020600,37.130551,0,,0.026933,,,,,,,0.780000,0.006000,0.781800,0.005500,0.777000,,"{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.6, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""tau"": 0.8}","{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.6, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""seed"": 23345, ""tau"": 0.8}",base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=0; base_robust=0.769717
2026-05-21 23:40:33,run,PubMed,grace,,2,23346,,200,200,17.287797,,5.240100,,12.047697,0.026197,0.089494,0.020800,0.019700,38.167211,0,,0.026197,,,,,,,0.761600,0.001400,0.763500,0.002400,0.760900,,"{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.6, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""tau"": 0.8}","{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.6, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""seed"": 23346, ""tau"": 0.8}",base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=0; base_robust=0.769717
2026-05-21 23:40:49,run,PubMed,grace,,3,23347,,200,200,16.494939,,5.252400,,11.242539,0.026263,0.087240,0.023000,0.020100,38.077831,0,,0.026263,,,,,,,0.786200,0.004900,0.786700,0.004700,0.783750,,"{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.6, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""tau"": 0.8}","{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.6, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""seed"": 23347, ""tau"": 0.8}",base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=0; base_robust=0.769717
2026-05-21 23:41:05,run,PubMed,gca,grace,1,23345,,200,200,15.478915,,4.822800,,10.656115,0.024115,0.089738,0.017100,0.017400,41.469686,0,,0.024115,,,,,,,0.779300,0.012900,0.781800,0.011200,0.772850,,"{""F1Ma_mean"": ""0.786500"", ""F1Ma_std"": ""0.007700"", ""F1Mi_mean"": ""0.785400"", ""F1Mi_std"": ""0.008000"", ""delta_vs_grace"": ""0.001900"", ""drop_edge_rate_1"": ""0.7"", ""drop_edge_rate_2"": ""0.7"", ""drop_feature_rate_1"": ""0.5"", ""drop_feature_rate_2"": ""0.6"", ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": ""200"", ""robust_score"": ""0.781400"", ""tau"": ""0.8"", ""timestamp"": ""2026-04-10 19:29:46""}","{""drop_edge_rate_1"": 0.7, ""drop_edge_rate_2"": 0.7, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": 200, ""seed"": 23345, ""tau"": 0.8}",base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=1; base_robust=0.777967
2026-05-21 23:41:21,run,PubMed,gca,grace,2,23346,,200,200,16.061202,,4.992700,,11.068502,0.024963,0.088533,0.016800,0.018600,40.058485,0,,0.024963,,,,,,,0.757900,0.006900,0.757700,0.007000,0.754450,,"{""F1Ma_mean"": ""0.786500"", ""F1Ma_std"": ""0.007700"", ""F1Mi_mean"": ""0.785400"", ""F1Mi_std"": ""0.008000"", ""delta_vs_grace"": ""0.001900"", ""drop_edge_rate_1"": ""0.7"", ""drop_edge_rate_2"": ""0.7"", ""drop_feature_rate_1"": ""0.5"", ""drop_feature_rate_2"": ""0.6"", ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": ""200"", ""robust_score"": ""0.781400"", ""tau"": ""0.8"", ""timestamp"": ""2026-04-10 19:29:46""}","{""drop_edge_rate_1"": 0.7, ""drop_edge_rate_2"": 0.7, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": 200, ""seed"": 23346, ""tau"": 0.8}",base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=1; base_robust=0.777967
2026-05-21 23:41:37,run,PubMed,gca,grace,3,23347,,200,200,16.285910,,5.276800,,11.009110,0.026386,0.095742,0.021400,0.019400,37.901759,0,,0.026386,,,,,,,0.792100,0.002400,0.792900,0.003100,0.790900,,"{""F1Ma_mean"": ""0.786500"", ""F1Ma_std"": ""0.007700"", ""F1Mi_mean"": ""0.785400"", ""F1Mi_std"": ""0.008000"", ""delta_vs_grace"": ""0.001900"", ""drop_edge_rate_1"": ""0.7"", ""drop_edge_rate_2"": ""0.7"", ""drop_feature_rate_1"": ""0.5"", ""drop_feature_rate_2"": ""0.6"", ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": ""200"", ""robust_score"": ""0.781400"", ""tau"": ""0.8"", ""timestamp"": ""2026-04-10 19:29:46""}","{""drop_edge_rate_1"": 0.7, ""drop_edge_rate_2"": 0.7, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": 200, ""seed"": 23347, ""tau"": 0.8}",base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=1; base_robust=0.777967
2026-05-21 23:45:00,run,PubMed,ifl-gr,grace,1,23345,,200,200,202.776575,,191.887000,,10.889575,0.959436,0.984273,2.533500,1.393350,1.042280,34,2.500447,0.643808,0.031038,1.887835,,,,,0.798100,0.001600,0.798700,0.001200,0.797300,,"{""F1Ma_mean"": ""0.791900"", ""F1Ma_std"": ""0.003300"", ""F1Mi_mean"": ""0.791400"", ""F1Mi_std"": ""0.003200"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.012500"", ""max_du_per_node"": ""12"", ""robust_score"": ""0.789800"", ""similarity_percentile"": ""99.7"", ""tau"": ""0.3"", ""timestamp"": ""2026-04-10 18:56:17"", ""unlabeled_weight"": ""0.2"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 12, ""seed"": 23345, ""similarity_percentile"": 99.7, ""similarity_threshold"": null, ""tau"": 0.3, ""unlabeled_weight"": 0.2, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=2; base_robust=0.793583
2026-05-21 23:48:20,run,PubMed,ifl-gr,grace,2,23346,,200,200,199.900151,,188.942300,,10.957851,0.944711,0.966995,2.516000,1.354700,1.058524,34,2.449632,0.636474,0.030722,1.858700,,,,,0.797000,0.004200,0.796500,0.003900,0.794900,,"{""F1Ma_mean"": ""0.791900"", ""F1Ma_std"": ""0.003300"", ""F1Mi_mean"": ""0.791400"", ""F1Mi_std"": ""0.003200"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.012500"", ""max_du_per_node"": ""12"", ""robust_score"": ""0.789800"", ""similarity_percentile"": ""99.7"", ""tau"": ""0.3"", ""timestamp"": ""2026-04-10 18:56:17"", ""unlabeled_weight"": ""0.2"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 12, ""seed"": 23346, ""similarity_percentile"": 99.7, ""similarity_threshold"": null, ""tau"": 0.3, ""unlabeled_weight"": 0.2, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=2; base_robust=0.793583
2026-05-21 23:51:53,run,PubMed,ifl-gr,grace,3,23347,,200,200,212.967683,,201.887400,,11.080283,1.009436,1.036658,2.618900,1.396050,0.990651,34,2.626641,0.678202,0.031181,1.987692,,,,,0.793800,0.012100,0.795600,0.011000,0.787750,,"{""F1Ma_mean"": ""0.791900"", ""F1Ma_std"": ""0.003300"", ""F1Mi_mean"": ""0.791400"", ""F1Mi_std"": ""0.003200"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.012500"", ""max_du_per_node"": ""12"", ""robust_score"": ""0.789800"", ""similarity_percentile"": ""99.7"", ""tau"": ""0.3"", ""timestamp"": ""2026-04-10 18:56:17"", ""unlabeled_weight"": ""0.2"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 12, ""seed"": 23347, ""similarity_percentile"": 99.7, ""similarity_threshold"": null, ""tau"": 0.3, ""unlabeled_weight"": 0.2, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=2; base_robust=0.793583
2026-05-21 23:58:15,run,PubMed,ifl-gc,gca,1,23345,,200,200,381.785927,,370.632400,,11.153527,1.853158,1.858128,4.425700,2.182850,0.539618,34,4.350597,1.341634,0.030469,3.675846,,,,,0.800900,0.006800,0.800400,0.007200,0.797500,,"{""F1Ma_mean"": ""0.800000"", ""F1Ma_std"": ""0.002500"", ""F1Mi_mean"": ""0.800500"", ""F1Mi_std"": ""0.002100"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.024300"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""gca_drop_scheme"": ""degree"", ""gca_pr_k"": ""200"", ""iflgc_refl_du_weight"": ""0.4"", ""max_du_per_node"": ""12"", ""robust_score"": ""0.799450"", ""similarity_percentile"": ""99.5"", ""tau"": ""0.3"", ""timestamp"": ""2026-04-10 20:45:36"", ""unlabeled_weight"": ""0.3"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""drop_edge_rate_1"": 0.3, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.3, ""drop_feature_rate_2"": 0.4, ""gca_drop_scheme"": ""degree"", ""gca_pr_k"": 200, ""iflgc_refl_du_weight"": 0.4, ""max_du_per_node"": 12, ""seed"": 23345, ""similarity_percentile"": 99.5, ""similarity_threshold"": null, ""tau"": 0.3, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=2; base_robust=0.796117
