timestamp,stage,dataset,method,variant,component,run_idx,seed,num_runs,F1Mi_mean,F1Mi_std,F1Ma_mean,F1Ma_std,robust_score,robust_score_std,delta_vs_full,drop_vs_full,relative_drop_vs_full,trace_ts_mean,trace_ts_last,trace_mined_pairs_mean,trace_mined_pairs_last,trace_avg_pairs_mean,trace_avg_pairs_last,base_params_json,trial_params_json,notes
2026-05-21 18:20:25,run,Cora,ifl-gr,full,complete SG-GCL,1,39789,,0.822400,0.003800,0.807200,0.002900,0.820500,,,,,0.983044,0.981700,14393.100000,14562.000000,5.314600,5.380000,"{""F1Ma_mean"": ""0.832400"", ""F1Ma_std"": ""0.003900"", ""F1Mi_mean"": ""0.846300"", ""F1Mi_std"": ""0.002800"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.012800"", ""max_du_per_node"": ""16"", ""robust_score"": ""0.844900"", ""similarity_percentile"": ""99.7"", ""tau"": ""0.4"", ""timestamp"": ""2026-04-10 11:40:23"", ""unlabeled_weight"": ""0.2"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 16, ""seed"": 39789, ""similarity_percentile"": 99.7, ""similarity_threshold"": null, ""tau"": 0.4, ""unlabeled_weight"": 0.2, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",base_source=full_pipeline; base_path=results/cora_full_pipeline_results.csv; base_rank=3; base_robust=0.839367
2026-05-21 18:20:41,run,Cora,ifl-gr,full,complete SG-GCL,2,39790,,0.829800,0.003700,0.813400,0.003500,0.827950,,,,,0.977745,0.976200,14479.340000,14696.000000,5.346300,5.430000,"{""F1Ma_mean"": ""0.832400"", ""F1Ma_std"": ""0.003900"", ""F1Mi_mean"": ""0.846300"", ""F1Mi_std"": ""0.002800"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.012800"", ""max_du_per_node"": ""16"", ""robust_score"": ""0.844900"", ""similarity_percentile"": ""99.7"", ""tau"": ""0.4"", ""timestamp"": ""2026-04-10 11:40:23"", ""unlabeled_weight"": ""0.2"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 16, ""seed"": 39790, ""similarity_percentile"": 99.7, ""similarity_threshold"": null, ""tau"": 0.4, ""unlabeled_weight"": 0.2, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",base_source=full_pipeline; base_path=results/cora_full_pipeline_results.csv; base_rank=3; base_robust=0.839367
2026-05-21 18:20:57,run,Cora,ifl-gr,full,complete SG-GCL,3,39791,,0.815600,0.004500,0.795700,0.005900,0.813350,,,,,0.983728,0.982600,14231.300000,14576.000000,5.254300,5.380000,"{""F1Ma_mean"": ""0.832400"", ""F1Ma_std"": ""0.003900"", ""F1Mi_mean"": ""0.846300"", ""F1Mi_std"": ""0.002800"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.012800"", ""max_du_per_node"": ""16"", ""robust_score"": ""0.844900"", ""similarity_percentile"": ""99.7"", ""tau"": ""0.4"", ""timestamp"": ""2026-04-10 11:40:23"", ""unlabeled_weight"": ""0.2"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 16, ""seed"": 39791, ""similarity_percentile"": 99.7, ""similarity_threshold"": null, ""tau"": 0.4, ""unlabeled_weight"": 0.2, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",base_source=full_pipeline; base_path=results/cora_full_pipeline_results.csv; base_rank=3; base_robust=0.839367
2026-05-21 18:21:13,run,Cora,ifl-gr,no_warmup,w/o warmup,1,39789,,0.821300,0.007500,0.808500,0.007700,0.817550,,,,,0.981857,0.981600,14373.690000,14784.000000,5.307600,5.460000,"{""F1Ma_mean"": ""0.832400"", ""F1Ma_std"": ""0.003900"", ""F1Mi_mean"": ""0.846300"", ""F1Mi_std"": ""0.002800"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.012800"", ""max_du_per_node"": ""16"", ""robust_score"": ""0.844900"", ""similarity_percentile"": ""99.7"", ""tau"": ""0.4"", ""timestamp"": ""2026-04-10 11:40:23"", ""unlabeled_weight"": ""0.2"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 16, ""seed"": 39789, ""similarity_percentile"": 99.7, ""similarity_threshold"": null, ""tau"": 0.4, ""unlabeled_weight"": 0.2, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 0}",base_source=full_pipeline; base_path=results/cora_full_pipeline_results.csv; base_rank=3; base_robust=0.839367
2026-05-21 18:21:30,run,Cora,ifl-gr,no_warmup,w/o warmup,2,39790,,0.825300,0.003300,0.808000,0.004600,0.823650,,,,,0.978398,0.976600,14398.230000,14658.000000,5.317150,5.410000,"{""F1Ma_mean"": ""0.832400"", ""F1Ma_std"": ""0.003900"", ""F1Mi_mean"": ""0.846300"", ""F1Mi_std"": ""0.002800"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.012800"", ""max_du_per_node"": ""16"", ""robust_score"": ""0.844900"", ""similarity_percentile"": ""99.7"", ""tau"": ""0.4"", ""timestamp"": ""2026-04-10 11:40:23"", ""unlabeled_weight"": ""0.2"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 16, ""seed"": 39790, ""similarity_percentile"": 99.7, ""similarity_threshold"": null, ""tau"": 0.4, ""unlabeled_weight"": 0.2, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 0}",base_source=full_pipeline; base_path=results/cora_full_pipeline_results.csv; base_rank=3; base_robust=0.839367
2026-05-21 18:21:47,run,Cora,ifl-gr,no_warmup,w/o warmup,3,39791,,0.819800,0.004500,0.802700,0.004800,0.817550,,,,,0.983559,0.983000,14148.010000,14614.000000,5.225250,5.400000,"{""F1Ma_mean"": ""0.832400"", ""F1Ma_std"": ""0.003900"", ""F1Mi_mean"": ""0.846300"", ""F1Mi_std"": ""0.002800"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.012800"", ""max_du_per_node"": ""16"", ""robust_score"": ""0.844900"", ""similarity_percentile"": ""99.7"", ""tau"": ""0.4"", ""timestamp"": ""2026-04-10 11:40:23"", ""unlabeled_weight"": ""0.2"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 16, ""seed"": 39791, ""similarity_percentile"": 99.7, ""similarity_threshold"": null, ""tau"": 0.4, ""unlabeled_weight"": 0.2, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 0}",base_source=full_pipeline; base_path=results/cora_full_pipeline_results.csv; base_rank=3; base_robust=0.839367
2026-05-21 18:22:03,run,Cora,ifl-gr,single_mining,w/o dynamic update,1,39789,,0.828700,0.002800,0.811400,0.001300,0.827300,,,,,0.983600,0.983600,14654.000000,14654.000000,5.410000,5.410000,"{""F1Ma_mean"": ""0.832400"", ""F1Ma_std"": ""0.003900"", ""F1Mi_mean"": ""0.846300"", ""F1Mi_std"": ""0.002800"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.012800"", ""max_du_per_node"": ""16"", ""robust_score"": ""0.844900"", ""similarity_percentile"": ""99.7"", ""tau"": ""0.4"", ""timestamp"": ""2026-04-10 11:40:23"", ""unlabeled_weight"": ""0.2"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 16, ""seed"": 39789, ""similarity_percentile"": 99.7, ""similarity_threshold"": null, ""tau"": 0.4, ""unlabeled_weight"": 0.2, ""update_interval"": 201, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",base_source=full_pipeline; base_path=results/cora_full_pipeline_results.csv; base_rank=3; base_robust=0.839367
2026-05-21 18:22:19,run,Cora,ifl-gr,single_mining,w/o dynamic update,2,39790,,0.836100,0.002400,0.815500,0.002000,0.834900,,,,,0.979800,0.979800,14360.000000,14360.000000,5.300000,5.300000,"{""F1Ma_mean"": ""0.832400"", ""F1Ma_std"": ""0.003900"", ""F1Mi_mean"": ""0.846300"", ""F1Mi_std"": ""0.002800"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.012800"", ""max_du_per_node"": ""16"", ""robust_score"": ""0.844900"", ""similarity_percentile"": ""99.7"", ""tau"": ""0.4"", ""timestamp"": ""2026-04-10 11:40:23"", ""unlabeled_weight"": ""0.2"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 16, ""seed"": 39790, ""similarity_percentile"": 99.7, ""similarity_threshold"": null, ""tau"": 0.4, ""unlabeled_weight"": 0.2, ""update_interval"": 201, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",base_source=full_pipeline; base_path=results/cora_full_pipeline_results.csv; base_rank=3; base_robust=0.839367
2026-05-21 18:22:34,run,Cora,ifl-gr,single_mining,w/o dynamic update,3,39791,,0.824300,0.002000,0.806400,0.004100,0.823300,,,,,0.985300,0.985300,14648.000000,14648.000000,5.410000,5.410000,"{""F1Ma_mean"": ""0.832400"", ""F1Ma_std"": ""0.003900"", ""F1Mi_mean"": ""0.846300"", ""F1Mi_std"": ""0.002800"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.012800"", ""max_du_per_node"": ""16"", ""robust_score"": ""0.844900"", ""similarity_percentile"": ""99.7"", ""tau"": ""0.4"", ""timestamp"": ""2026-04-10 11:40:23"", ""unlabeled_weight"": ""0.2"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 16, ""seed"": 39791, ""similarity_percentile"": 99.7, ""similarity_threshold"": null, ""tau"": 0.4, ""unlabeled_weight"": 0.2, ""update_interval"": 201, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",base_source=full_pipeline; base_path=results/cora_full_pipeline_results.csv; base_rank=3; base_robust=0.839367
2026-05-21 18:22:50,run,Cora,ifl-gr,uniform_weight,w/o semantic weight,1,39789,,0.814900,0.006300,0.793500,0.007300,0.811750,,,,,0.983044,0.981700,14381.080000,14524.000000,5.310200,5.360000,"{""F1Ma_mean"": ""0.832400"", ""F1Ma_std"": ""0.003900"", ""F1Mi_mean"": ""0.846300"", ""F1Mi_std"": ""0.002800"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.012800"", ""max_du_per_node"": ""16"", ""robust_score"": ""0.844900"", ""similarity_percentile"": ""99.7"", ""tau"": ""0.4"", ""timestamp"": ""2026-04-10 11:40:23"", ""unlabeled_weight"": ""0.2"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 0.0, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 16, ""seed"": 39789, ""similarity_percentile"": 99.7, ""similarity_threshold"": null, ""tau"": 0.4, ""unlabeled_weight"": 0.2, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",base_source=full_pipeline; base_path=results/cora_full_pipeline_results.csv; base_rank=3; base_robust=0.839367
2026-05-21 18:23:06,run,Cora,ifl-gr,uniform_weight,w/o semantic weight,2,39790,,0.833500,0.007100,0.815600,0.012700,0.829950,,,,,0.977754,0.976200,14478.820000,14698.000000,5.346000,5.430000,"{""F1Ma_mean"": ""0.832400"", ""F1Ma_std"": ""0.003900"", ""F1Mi_mean"": ""0.846300"", ""F1Mi_std"": ""0.002800"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.012800"", ""max_du_per_node"": ""16"", ""robust_score"": ""0.844900"", ""similarity_percentile"": ""99.7"", ""tau"": ""0.4"", ""timestamp"": ""2026-04-10 11:40:23"", ""unlabeled_weight"": ""0.2"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 0.0, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 16, ""seed"": 39790, ""similarity_percentile"": 99.7, ""similarity_threshold"": null, ""tau"": 0.4, ""unlabeled_weight"": 0.2, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",base_source=full_pipeline; base_path=results/cora_full_pipeline_results.csv; base_rank=3; base_robust=0.839367
2026-05-21 18:23:22,run,Cora,ifl-gr,uniform_weight,w/o semantic weight,3,39791,,0.813600,0.004800,0.791100,0.012500,0.811200,,,,,0.983695,0.982600,14215.180000,14536.000000,5.250000,5.370000,"{""F1Ma_mean"": ""0.832400"", ""F1Ma_std"": ""0.003900"", ""F1Mi_mean"": ""0.846300"", ""F1Mi_std"": ""0.002800"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.012800"", ""max_du_per_node"": ""16"", ""robust_score"": ""0.844900"", ""similarity_percentile"": ""99.7"", ""tau"": ""0.4"", ""timestamp"": ""2026-04-10 11:40:23"", ""unlabeled_weight"": ""0.2"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 0.0, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 16, ""seed"": 39791, ""similarity_percentile"": 99.7, ""similarity_threshold"": null, ""tau"": 0.4, ""unlabeled_weight"": 0.2, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",base_source=full_pipeline; base_path=results/cora_full_pipeline_results.csv; base_rank=3; base_robust=0.839367
2026-05-21 18:23:22,summary,Cora,ifl-gr,full,complete SG-GCL,,,3,0.822600,0.005799,0.805433,0.007333,0.820600,0.005961,0.000000,0.000000,0.000000,0.981506,0.980167,14367.913333,14611.333333,5.305067,5.396667,"{""F1Ma_mean"": ""0.832400"", ""F1Ma_std"": ""0.003900"", ""F1Mi_mean"": ""0.846300"", ""F1Mi_std"": ""0.002800"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.012800"", ""max_du_per_node"": ""16"", ""robust_score"": ""0.844900"", ""similarity_percentile"": ""99.7"", ""tau"": ""0.4"", ""timestamp"": ""2026-04-10 11:40:23"", ""unlabeled_weight"": ""0.2"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 16, ""seed_list"": [39789, 39790, 39791], ""similarity_percentile"": 99.7, ""similarity_threshold"": null, ""tau"": 0.4, ""unlabeled_weight"": 0.2, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",complete method with best verified parameters
2026-05-21 18:23:22,summary,Cora,ifl-gr,no_warmup,w/o warmup,,,3,0.822133,0.002321,0.806400,0.002624,0.819583,0.002876,-0.001017,0.001017,0.001239,0.981272,0.980400,14306.643333,14685.333333,5.283333,5.423333,"{""F1Ma_mean"": ""0.832400"", ""F1Ma_std"": ""0.003900"", ""F1Mi_mean"": ""0.846300"", ""F1Mi_std"": ""0.002800"", ""beta"": ""2.2"", ""corrected_ramp_epochs"": ""20"", ""delta_vs_grace"": ""0.012800"", ""max_du_per_node"": ""16"", ""robust_score"": ""0.844900"", ""similarity_percentile"": ""99.7"", ""tau"": ""0.4"", ""timestamp"": ""2026-04-10 11:40:23"", ""unlabeled_weight"": ""0.2"", ""update_interval"": ""3"", ""use_mutual_topk"": ""True"", ""warmup_epochs"": ""100""}","{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""max_du_per_node"": 16, ""seed_list"": [39789, 39790, 39791], ""similarity_percentile"": 99.7, ""similarity_threshold"": null, ""tau"": 0.4, ""unlabeled_weight"": 0.2, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 0}",warmup_epochs=0
