timestamp,gca_drop_scheme,similarity_percentile,max_du_per_node,unlabeled_weight,iflgc_refl_du_weight,warmup_epochs,tau,drop_edge_rate_1,drop_edge_rate_2,drop_feature_rate_1,drop_feature_rate_2,update_interval,beta,use_mutual_topk,corrected_ramp_epochs,gca_pr_k,F1Mi_mean,F1Mi_std,F1Ma_mean,F1Ma_std,robust_score,delta_vs_grace
2026-04-10 13:05:40,degree,99.5,8,0.3,0.6,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.726700,0.004100,0.664200,0.011700,0.724650,0.015000
2026-04-10 13:05:40,degree,99.3,10,0.4,0.5,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.726300,0.005500,0.657200,0.006000,0.723550,0.013900
2026-04-10 13:05:40,degree,99.5,8,0.3,0.6,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.723700,0.006800,0.662500,0.006000,0.720300,0.010650
2026-04-10 13:05:40,pr,99.3,10,0.4,0.5,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.721800,0.003500,0.648200,0.003400,0.720050,0.010400
2026-04-10 13:05:40,degree,99.3,8,0.4,0.6,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.722300,0.004900,0.655900,0.009500,0.719850,0.010200
2026-04-10 13:05:40,degree,99.5,8,0.4,0.5,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.721500,0.005500,0.651900,0.006800,0.718750,0.009100
2026-04-10 13:05:40,degree,99.3,8,0.3,0.6,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.719600,0.002600,0.649100,0.013200,0.718300,0.008650
2026-04-10 13:05:40,pr,99.5,8,0.4,0.5,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.719400,0.002700,0.668300,0.010600,0.718050,0.008400
2026-04-10 13:05:40,pr,99.3,10,0.4,0.5,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.719100,0.004500,0.654200,0.012100,0.716850,0.007200
2026-04-10 13:05:40,pr,99.5,8,0.4,0.6,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.718200,0.002800,0.656400,0.015500,0.716800,0.007150
2026-04-10 13:05:40,pr,99.5,10,0.4,0.5,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.718200,0.002800,0.665500,0.002600,0.716800,0.007150
2026-04-10 13:05:40,pr,99.5,10,0.3,0.5,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.719200,0.005000,0.655000,0.014300,0.716700,0.007050
2026-04-10 13:05:40,pr,99.3,8,0.4,0.5,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.717900,0.003100,0.646800,0.010600,0.716350,0.006700
2026-04-10 13:05:40,degree,99.5,8,0.4,0.6,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.718500,0.004800,0.665800,0.011500,0.716100,0.006450
2026-04-10 13:05:40,pr,99.5,8,0.4,0.6,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.720100,0.008100,0.647900,0.009600,0.716050,0.006400
2026-04-10 13:05:40,degree,99.3,10,0.3,0.6,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.719100,0.006300,0.648400,0.003300,0.715950,0.006300
2026-04-10 13:05:40,degree,99.5,10,0.4,0.6,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.716800,0.001900,0.656700,0.011400,0.715850,0.006200
2026-04-10 13:05:40,pr,99.3,8,0.3,0.5,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.717000,0.002300,0.650000,0.018300,0.715850,0.006200
2026-04-10 13:05:40,pr,99.3,8,0.3,0.5,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.718100,0.005100,0.644500,0.002400,0.715550,0.005900
2026-04-10 13:05:40,degree,99.5,10,0.4,0.6,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.717300,0.003900,0.657800,0.016900,0.715350,0.005700
2026-04-10 13:05:40,pr,99.3,8,0.4,0.6,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.719300,0.009000,0.651600,0.010900,0.714800,0.005150
2026-04-10 13:05:40,pr,99.3,10,0.4,0.6,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.717600,0.006500,0.646000,0.009500,0.714350,0.004700
2026-04-10 13:05:40,pr,99.3,10,0.3,0.5,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.717200,0.005900,0.660700,0.010300,0.714250,0.004600
2026-04-10 13:05:40,degree,99.5,10,0.3,0.5,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.716400,0.004400,0.660600,0.012000,0.714200,0.004550
2026-04-10 13:05:40,degree,99.3,10,0.3,0.6,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.718100,0.008200,0.656600,0.014500,0.714000,0.004350
2026-04-10 13:05:40,degree,99.3,8,0.3,0.6,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.716000,0.004600,0.647800,0.006500,0.713700,0.004050
2026-04-10 13:05:40,pr,99.3,10,0.3,0.5,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.716600,0.005800,0.651300,0.014800,0.713700,0.004050
2026-04-10 13:05:40,pr,99.3,8,0.3,0.6,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.715600,0.003900,0.656700,0.010300,0.713650,0.004000
2026-04-10 13:05:40,degree,99.5,8,0.4,0.6,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.715200,0.005000,0.653500,0.004500,0.712700,0.003050
2026-04-10 13:05:40,degree,99.3,10,0.3,0.5,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.716600,0.008100,0.648000,0.018400,0.712550,0.002900
2026-04-10 13:05:40,degree,99.5,8,0.4,0.5,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.717400,0.010100,0.658800,0.012200,0.712350,0.002700
2026-04-10 13:05:40,degree,99.3,10,0.3,0.5,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.713500,0.006400,0.652300,0.006300,0.710300,0.000650
2026-04-10 13:05:40,pr,99.5,10,0.4,0.6,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.711500,0.002600,0.658000,0.006900,0.710200,0.000550
2026-04-10 13:05:40,pr,99.3,8,0.4,0.5,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.716100,0.012000,0.665300,0.006600,0.710100,0.000450
2026-04-10 13:05:40,pr,99.5,8,0.3,0.6,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.712900,0.006400,0.657200,0.007400,0.709700,0.000050
2026-04-10 13:05:40,pr,99.3,8,0.4,0.6,80,0.9,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.712200,0.005200,0.661200,0.009100,0.709600,-0.000050
2026-04-10 13:05:40,degree,99.3,8,0.3,0.5,80,0.7,0.2,0.0,0.3,0.2,3,2.5,True,30,200,0.712300,0.005600,0.657300,0.007400,0.709500,-0.000150
