dataset,method,candidate_rank,n_runs,robust_score_mean,robust_score_std,F1Mi_mean,F1Mi_std,F1Ma_mean,F1Ma_std,selection_source,delta_vs_grace,delta_vs_grace_std
Cora,grace,0,3,0.8230666666666666,0.0020937738390019293,0.8267333333333333,0.002583709650010189,0.8088666666666667,0.002604269997949952,baseline_runs,0.0,0.0020937738390019293
Cora,gca,3,3,0.83075,0.006403644795479122,0.8342,0.005511805511808243,0.8184,0.008286132994346652,best_verified_candidate,0.007683333333333375,0.006737251335341121
Cora,ifl-gr,3,3,0.8393666666666667,0.002014254756038135,0.8423666666666666,0.0015456030825826347,0.8271999999999999,0.004846304433964759,best_verified_candidate,0.016300000000000092,0.0029053590330819913
Cora,ifl-gc,1,3,0.8381666666666666,0.005251084544062194,0.8394333333333334,0.004343833432452103,0.8292333333333333,0.0030912061651652374,best_verified_candidate,0.015100000000000002,0.005653121065197325
CiteSeer,grace,0,3,0.7048333333333333,0.003805551500403391,0.7086333333333332,0.004235039026450116,0.6395666666666666,0.008152436581919711,baseline_runs,0.0,0.003805551500403391
CiteSeer,gca,3,3,0.7148833333333333,0.0026439658763977043,0.7188,0.0018384776310850022,0.6486333333333333,0.009590736271122372,best_verified_candidate,0.010050000000000003,0.004633872870264999
CiteSeer,ifl-gr,2,3,0.7065666666666667,0.0027118054666382396,0.7080666666666667,0.0019154343864744635,0.6303666666666667,0.008738548061447167,best_verified_candidate,0.0017333333333333645,0.004672912486994759
CiteSeer,ifl-gc,3,3,0.7149333333333333,0.0018957554929074597,0.7182333333333334,0.0018732028424302842,0.6516000000000001,0.005867424193516874,best_verified_candidate,0.010099999999999998,0.004251601005634384
PubMed,grace,0,3,0.7697166666666666,0.005932162805887544,0.7722666666666665,0.004514667454223185,0.7733,0.004811098280711651,baseline_runs,0.0,0.005932162805887544
PubMed,gca,1,3,0.7779666666666666,0.0036451642243144917,0.7805666666666666,0.0030466739606039516,0.7814333333333333,0.001873202842430263,best_verified_candidate,0.00824999999999998,0.006962598493219169
PubMed,ifl-gr,2,3,0.7935833333333333,0.0037939278971653085,0.7958,0.0027796882319185553,0.7954666666666667,0.002561683474245404,best_verified_candidate,0.023866666666666703,0.0070416222878286186
PubMed,ifl-gc,2,3,0.7961166666666667,0.0015949573313693286,0.7972666666666667,0.0018153665072253562,0.7968333333333333,0.0015434449203720487,best_verified_candidate,0.02640000000000009,0.006142836840128862
DBLP,grace,0,3,0.7050166666666667,0.009625169551176206,0.7098333333333334,0.007520786010931466,0.6212333333333333,0.01168512825014012,baseline_runs,0.0,0.009625169551176206
DBLP,gca,2,3,0.7108,0.001860555472612031,0.7163333333333334,0.0032013885876114243,0.6173000000000001,0.002824889378365114,best_verified_candidate,0.0057833333333332515,0.009803344100640156
DBLP,ifl-gr,1,3,0.7221166666666669,0.009073251285448293,0.7247,0.00790105478190518,0.6392333333333333,0.001673983937265293,best_verified_candidate,0.017100000000000115,0.013227538613732288
DBLP,ifl-gc,1,3,0.7189166666666668,0.0014337208778404174,0.7207666666666667,0.00098092926463746,0.6448333333333333,0.004485036851081138,best_verified_candidate,0.013900000000000023,0.00973136395601588
