timestamp,stage,method,candidate_rank,run_idx,F1Mi_mean,F1Mi_std,F1Ma_mean,F1Ma_std,robust_score,delta_vs_grace,grid_csv,params_json,notes
2026-04-10 18:27:11,baseline,grace,0,1,0.769800,0.009100,0.770100,0.008900,0.765250,0.000000,,"{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.6, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""tau"": 0.8}",baseline reference
2026-04-10 18:27:27,baseline,grace,0,2,0.768400,0.005200,0.769700,0.004700,0.765800,0.000000,,"{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.6, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""tau"": 0.8}",baseline reference
2026-04-10 18:27:43,baseline,grace,0,3,0.778600,0.001000,0.780100,0.001500,0.778100,0.000000,,"{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.6, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""tau"": 0.8}",baseline reference
2026-04-10 19:00:11,top_verify,sg-gr,1,1,0.793800,0.008300,0.794000,0.007500,0.789650,0.019933,results/grid_search_sggr_pubmed_results.csv,"{""timestamp"": ""2026-04-10 18:56:17"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.2"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""F1Mi_mean"": ""0.793200"", ""F1Mi_std"": ""0.006800"", ""F1Ma_mean"": ""0.792800"", ""F1Ma_std"": ""0.008100"", ""robust_score"": ""0.789800"", ""delta_vs_grace"": ""0.012500""}",
2026-04-10 19:04:22,top_verify,sg-gr,1,2,0.794100,0.013700,0.794800,0.013500,0.787250,0.017533,results/grid_search_sggr_pubmed_results.csv,"{""timestamp"": ""2026-04-10 18:56:17"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.2"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""F1Mi_mean"": ""0.793200"", ""F1Mi_std"": ""0.006800"", ""F1Ma_mean"": ""0.792800"", ""F1Ma_std"": ""0.008100"", ""robust_score"": ""0.789800"", ""delta_vs_grace"": ""0.012500""}",
2026-04-10 19:07:50,top_verify,sg-gr,1,3,0.795300,0.007500,0.793900,0.005800,0.791550,0.021833,results/grid_search_sggr_pubmed_results.csv,"{""timestamp"": ""2026-04-10 18:56:17"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.2"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""F1Mi_mean"": ""0.793200"", ""F1Mi_std"": ""0.006800"", ""F1Ma_mean"": ""0.792800"", ""F1Ma_std"": ""0.008100"", ""robust_score"": ""0.789800"", ""delta_vs_grace"": ""0.012500""}",
2026-04-10 19:11:12,top_verify,sg-gr,2,1,0.798800,0.001700,0.797800,0.001800,0.797950,0.028233,results/grid_search_sggr_pubmed_results.csv,"{""timestamp"": ""2026-04-10 18:56:17"", ""similarity_percentile"": ""99.7"", ""max_du_per_node"": ""12"", ""unlabeled_weight"": ""0.2"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""F1Mi_mean"": ""0.791400"", ""F1Mi_std"": ""0.003200"", ""F1Ma_mean"": ""0.791900"", ""F1Ma_std"": ""0.003300"", ""robust_score"": ""0.789800"", ""delta_vs_grace"": ""0.012500""}",
2026-04-10 19:14:30,top_verify,sg-gr,2,2,0.796500,0.004800,0.796700,0.005500,0.794100,0.024383,results/grid_search_sggr_pubmed_results.csv,"{""timestamp"": ""2026-04-10 18:56:17"", ""similarity_percentile"": ""99.7"", ""max_du_per_node"": ""12"", ""unlabeled_weight"": ""0.2"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""F1Mi_mean"": ""0.791400"", ""F1Mi_std"": ""0.003200"", ""F1Ma_mean"": ""0.791900"", ""F1Ma_std"": ""0.003300"", ""robust_score"": ""0.789800"", ""delta_vs_grace"": ""0.012500""}",
2026-04-10 19:18:13,top_verify,sg-gr,2,3,0.792100,0.006800,0.791900,0.007100,0.788700,0.018983,results/grid_search_sggr_pubmed_results.csv,"{""timestamp"": ""2026-04-10 18:56:17"", ""similarity_percentile"": ""99.7"", ""max_du_per_node"": ""12"", ""unlabeled_weight"": ""0.2"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""F1Mi_mean"": ""0.791400"", ""F1Mi_std"": ""0.003200"", ""F1Ma_mean"": ""0.791900"", ""F1Ma_std"": ""0.003300"", ""robust_score"": ""0.789800"", ""delta_vs_grace"": ""0.012500""}",
2026-04-10 19:21:27,top_verify,sg-gr,3,1,0.789100,0.003100,0.790100,0.004600,0.787550,0.017833,results/grid_search_sggr_pubmed_results.csv,"{""timestamp"": ""2026-04-10 18:56:17"", ""similarity_percentile"": ""99.7"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.3"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""F1Mi_mean"": ""0.791000"", ""F1Mi_std"": ""0.004500"", ""F1Ma_mean"": ""0.790200"", ""F1Ma_std"": ""0.005700"", ""robust_score"": ""0.788750"", ""delta_vs_grace"": ""0.011450""}",
