timestamp,stage,dataset,method,base_rank,paper_param,config_key,anchor_value,anchor_grid_robust,sweep_value,is_anchor,run_idx,num_runs,F1Mi_mean,F1Mi_std,F1Ma_mean,F1Ma_std,within_run_F1Mi_std_mean,within_run_F1Ma_std_mean,robust_score,robust_score_std,trace_ts_mean,trace_ts_last,trace_mined_pairs_mean,trace_mined_pairs_last,trace_avg_pairs_mean,trace_avg_pairs_last,delta_vs_anchor,top_params_csv,base_params_json,trial_params_json,notes
2026-04-18 14:17:11,run,Cora,ifl-gc,1,t_s,similarity_threshold,0.9709,0.845850,0.9609,False,1,,0.833100,0.001500,0.822200,0.003300,,,0.832350,,0.960900,0.960900,20241.550000,19314.000000,7.475000,7.130000,,results/grid_search_iflgc_cora_results.csv,"{""timestamp"": ""2026-04-10 12:14:30"", ""gca_drop_scheme"": ""pr"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.2"", ""iflgc_refl_du_weight"": ""0.6"", ""warmup_epochs"": ""80"", ""tau"": ""0.4"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.848000"", ""F1Mi_std"": ""0.004300"", ""F1Ma_mean"": ""0.835800"", ""F1Ma_std"": ""0.003400"", ""robust_score"": ""0.845850"", ""delta_vs_grace"": ""0.018050""}","{""timestamp"": ""2026-04-10 12:14:30"", ""gca_drop_scheme"": ""pr"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.2"", ""iflgc_refl_du_weight"": ""0.6"", ""warmup_epochs"": ""80"", ""tau"": ""0.4"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.848000"", ""F1Mi_std"": ""0.004300"", ""F1Ma_mean"": ""0.835800"", ""F1Ma_std"": ""0.003400"", ""robust_score"": ""0.845850"", ""delta_vs_grace"": ""0.018050"", ""similarity_threshold"": ""0.9609""}",t_s -> similarity_threshold | anchor inferred from trace_ts_mean
2026-04-18 14:17:32,run,Cora,ifl-gc,1,t_s,similarity_threshold,0.9709,0.845850,0.9609,False,2,,0.829600,0.017100,0.819100,0.017300,,,0.821050,,0.960900,0.960900,20239.950000,19310.000000,7.474000,7.130000,,results/grid_search_iflgc_cora_results.csv,"{""timestamp"": ""2026-04-10 12:14:30"", ""gca_drop_scheme"": ""pr"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.2"", ""iflgc_refl_du_weight"": ""0.6"", ""warmup_epochs"": ""80"", ""tau"": ""0.4"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.848000"", ""F1Mi_std"": ""0.004300"", ""F1Ma_mean"": ""0.835800"", ""F1Ma_std"": ""0.003400"", ""robust_score"": ""0.845850"", ""delta_vs_grace"": ""0.018050""}","{""timestamp"": ""2026-04-10 12:14:30"", ""gca_drop_scheme"": ""pr"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.2"", ""iflgc_refl_du_weight"": ""0.6"", ""warmup_epochs"": ""80"", ""tau"": ""0.4"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.848000"", ""F1Mi_std"": ""0.004300"", ""F1Ma_mean"": ""0.835800"", ""F1Ma_std"": ""0.003400"", ""robust_score"": ""0.845850"", ""delta_vs_grace"": ""0.018050"", ""similarity_threshold"": ""0.9609""}",t_s -> similarity_threshold | anchor inferred from trace_ts_mean
2026-04-18 14:17:52,run,Cora,ifl-gc,1,t_s,similarity_threshold,0.9709,0.845850,0.9609,False,3,,0.841400,0.007400,0.830300,0.005000,,,0.837700,,0.960900,0.960900,20240.800000,19322.000000,7.474750,7.140000,,results/grid_search_iflgc_cora_results.csv,"{""timestamp"": ""2026-04-10 12:14:30"", ""gca_drop_scheme"": ""pr"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.2"", ""iflgc_refl_du_weight"": ""0.6"", ""warmup_epochs"": ""80"", ""tau"": ""0.4"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.848000"", ""F1Mi_std"": ""0.004300"", ""F1Ma_mean"": ""0.835800"", ""F1Ma_std"": ""0.003400"", ""robust_score"": ""0.845850"", ""delta_vs_grace"": ""0.018050""}","{""timestamp"": ""2026-04-10 12:14:30"", ""gca_drop_scheme"": ""pr"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.2"", ""iflgc_refl_du_weight"": ""0.6"", ""warmup_epochs"": ""80"", ""tau"": ""0.4"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.848000"", ""F1Mi_std"": ""0.004300"", ""F1Ma_mean"": ""0.835800"", ""F1Ma_std"": ""0.003400"", ""robust_score"": ""0.845850"", ""delta_vs_grace"": ""0.018050"", ""similarity_threshold"": ""0.9609""}",t_s -> similarity_threshold | anchor inferred from trace_ts_mean
2026-04-18 14:18:12,run,Cora,ifl-gc,1,t_s,similarity_threshold,0.9709,0.845850,0.9659,False,1,,0.838500,0.001100,0.829200,0.000500,,,0.837950,,0.965900,0.965900,19254.850000,17804.000000,7.110750,6.570000,,results/grid_search_iflgc_cora_results.csv,"{""timestamp"": ""2026-04-10 12:14:30"", ""gca_drop_scheme"": ""pr"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.2"", ""iflgc_refl_du_weight"": ""0.6"", ""warmup_epochs"": ""80"", ""tau"": ""0.4"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.848000"", ""F1Mi_std"": ""0.004300"", ""F1Ma_mean"": ""0.835800"", ""F1Ma_std"": ""0.003400"", ""robust_score"": ""0.845850"", ""delta_vs_grace"": ""0.018050""}","{""timestamp"": ""2026-04-10 12:14:30"", ""gca_drop_scheme"": ""pr"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.2"", ""iflgc_refl_du_weight"": ""0.6"", ""warmup_epochs"": ""80"", ""tau"": ""0.4"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.848000"", ""F1Mi_std"": ""0.004300"", ""F1Ma_mean"": ""0.835800"", ""F1Ma_std"": ""0.003400"", ""robust_score"": ""0.845850"", ""delta_vs_grace"": ""0.018050"", ""similarity_threshold"": ""0.9659""}",t_s -> similarity_threshold | anchor inferred from trace_ts_mean
2026-04-18 14:18:33,run,Cora,ifl-gc,1,t_s,similarity_threshold,0.9709,0.845850,0.9659,False,2,,0.839600,0.008700,0.829300,0.009900,,,0.835250,,0.965900,0.965900,19255.450000,17800.000000,7.111250,6.570000,,results/grid_search_iflgc_cora_results.csv,"{""timestamp"": ""2026-04-10 12:14:30"", ""gca_drop_scheme"": ""pr"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.2"", ""iflgc_refl_du_weight"": ""0.6"", ""warmup_epochs"": ""80"", ""tau"": ""0.4"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.848000"", ""F1Mi_std"": ""0.004300"", ""F1Ma_mean"": ""0.835800"", ""F1Ma_std"": ""0.003400"", ""robust_score"": ""0.845850"", ""delta_vs_grace"": ""0.018050""}","{""timestamp"": ""2026-04-10 12:14:30"", ""gca_drop_scheme"": ""pr"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.2"", ""iflgc_refl_du_weight"": ""0.6"", ""warmup_epochs"": ""80"", ""tau"": ""0.4"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.848000"", ""F1Mi_std"": ""0.004300"", ""F1Ma_mean"": ""0.835800"", ""F1Ma_std"": ""0.003400"", ""robust_score"": ""0.845850"", ""delta_vs_grace"": ""0.018050"", ""similarity_threshold"": ""0.9659""}",t_s -> similarity_threshold | anchor inferred from trace_ts_mean
2026-04-18 14:18:53,run,Cora,ifl-gc,1,t_s,similarity_threshold,0.9709,0.845850,0.9659,False,3,,0.844400,0.005300,0.832600,0.006800,,,0.841750,,0.965900,0.965900,19255.700000,17800.000000,7.112000,6.570000,,results/grid_search_iflgc_cora_results.csv,"{""timestamp"": ""2026-04-10 12:14:30"", ""gca_drop_scheme"": ""pr"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.2"", ""iflgc_refl_du_weight"": ""0.6"", ""warmup_epochs"": ""80"", ""tau"": ""0.4"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.848000"", ""F1Mi_std"": ""0.004300"", ""F1Ma_mean"": ""0.835800"", ""F1Ma_std"": ""0.003400"", ""robust_score"": ""0.845850"", ""delta_vs_grace"": ""0.018050""}","{""timestamp"": ""2026-04-10 12:14:30"", ""gca_drop_scheme"": ""pr"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.2"", ""iflgc_refl_du_weight"": ""0.6"", ""warmup_epochs"": ""80"", ""tau"": ""0.4"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.848000"", ""F1Mi_std"": ""0.004300"", ""F1Ma_mean"": ""0.835800"", ""F1Ma_std"": ""0.003400"", ""robust_score"": ""0.845850"", ""delta_vs_grace"": ""0.018050"", ""similarity_threshold"": ""0.9659""}",t_s -> similarity_threshold | anchor inferred from trace_ts_mean
2026-04-18 14:19:14,run,Cora,ifl-gc,1,t_s,similarity_threshold,0.9709,0.845850,0.9709,True,1,,0.840700,0.006600,0.828000,0.005400,,,0.837400,,0.970900,0.970900,17648.000000,15824.000000,6.517500,5.840000,,results/grid_search_iflgc_cora_results.csv,"{""timestamp"": ""2026-04-10 12:14:30"", ""gca_drop_scheme"": ""pr"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.2"", ""iflgc_refl_du_weight"": ""0.6"", ""warmup_epochs"": ""80"", ""tau"": ""0.4"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.848000"", ""F1Mi_std"": ""0.004300"", ""F1Ma_mean"": ""0.835800"", ""F1Ma_std"": ""0.003400"", ""robust_score"": ""0.845850"", ""delta_vs_grace"": ""0.018050""}","{""timestamp"": ""2026-04-10 12:14:30"", ""gca_drop_scheme"": ""pr"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.2"", ""iflgc_refl_du_weight"": ""0.6"", ""warmup_epochs"": ""80"", ""tau"": ""0.4"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.848000"", ""F1Mi_std"": ""0.004300"", ""F1Ma_mean"": ""0.835800"", ""F1Ma_std"": ""0.003400"", ""robust_score"": ""0.845850"", ""delta_vs_grace"": ""0.018050"", ""similarity_threshold"": ""0.9709""}",t_s -> similarity_threshold | anchor inferred from trace_ts_mean
2026-04-18 14:19:33,run,Cora,ifl-gc,1,t_s,similarity_threshold,0.9709,0.845850,0.9709,True,2,,0.837400,0.005700,0.826200,0.005200,,,0.834550,,0.970900,0.970900,17647.400000,15828.000000,6.516000,5.840000,,results/grid_search_iflgc_cora_results.csv,"{""timestamp"": ""2026-04-10 12:14:30"", ""gca_drop_scheme"": ""pr"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.2"", ""iflgc_refl_du_weight"": ""0.6"", ""warmup_epochs"": ""80"", ""tau"": ""0.4"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.848000"", ""F1Mi_std"": ""0.004300"", ""F1Ma_mean"": ""0.835800"", ""F1Ma_std"": ""0.003400"", ""robust_score"": ""0.845850"", ""delta_vs_grace"": ""0.018050""}","{""timestamp"": ""2026-04-10 12:14:30"", ""gca_drop_scheme"": ""pr"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.2"", ""iflgc_refl_du_weight"": ""0.6"", ""warmup_epochs"": ""80"", ""tau"": ""0.4"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.848000"", ""F1Mi_std"": ""0.004300"", ""F1Ma_mean"": ""0.835800"", ""F1Ma_std"": ""0.003400"", ""robust_score"": ""0.845850"", ""delta_vs_grace"": ""0.018050"", ""similarity_threshold"": ""0.9709""}",t_s -> similarity_threshold | anchor inferred from trace_ts_mean
2026-04-18 14:19:53,run,Cora,ifl-gc,1,t_s,similarity_threshold,0.9709,0.845850,0.9709,True,3,,0.838400,0.001800,0.828300,0.003300,,,0.837500,,0.970900,0.970900,17646.200000,15826.000000,6.517250,5.840000,,results/grid_search_iflgc_cora_results.csv,"{""timestamp"": ""2026-04-10 12:14:30"", ""gca_drop_scheme"": ""pr"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.2"", ""iflgc_refl_du_weight"": ""0.6"", ""warmup_epochs"": ""80"", ""tau"": ""0.4"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.848000"", ""F1Mi_std"": ""0.004300"", ""F1Ma_mean"": ""0.835800"", ""F1Ma_std"": ""0.003400"", ""robust_score"": ""0.845850"", ""delta_vs_grace"": ""0.018050""}","{""timestamp"": ""2026-04-10 12:14:30"", ""gca_drop_scheme"": ""pr"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.2"", ""iflgc_refl_du_weight"": ""0.6"", ""warmup_epochs"": ""80"", ""tau"": ""0.4"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.848000"", ""F1Mi_std"": ""0.004300"", ""F1Ma_mean"": ""0.835800"", ""F1Ma_std"": ""0.003400"", ""robust_score"": ""0.845850"", ""delta_vs_grace"": ""0.018050"", ""similarity_threshold"": ""0.9709""}",t_s -> similarity_threshold | anchor inferred from trace_ts_mean
2026-04-18 14:20:14,run,Cora,ifl-gc,1,t_s,similarity_threshold,0.9709,0.845850,0.9759,False,1,,0.840300,0.004900,0.829000,0.007600,,,0.837850,,0.975900,0.975900,15355.400000,13394.000000,5.670250,4.950000,,results/grid_search_iflgc_cora_results.csv,"{""timestamp"": ""2026-04-10 12:14:30"", ""gca_drop_scheme"": ""pr"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.2"", ""iflgc_refl_du_weight"": ""0.6"", ""warmup_epochs"": ""80"", ""tau"": ""0.4"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.848000"", ""F1Mi_std"": ""0.004300"", ""F1Ma_mean"": ""0.835800"", ""F1Ma_std"": ""0.003400"", ""robust_score"": ""0.845850"", ""delta_vs_grace"": ""0.018050""}","{""timestamp"": ""2026-04-10 12:14:30"", ""gca_drop_scheme"": ""pr"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.2"", ""iflgc_refl_du_weight"": ""0.6"", ""warmup_epochs"": ""80"", ""tau"": ""0.4"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.848000"", ""F1Mi_std"": ""0.004300"", ""F1Ma_mean"": ""0.835800"", ""F1Ma_std"": ""0.003400"", ""robust_score"": ""0.845850"", ""delta_vs_grace"": ""0.018050"", ""similarity_threshold"": ""0.9759""}",t_s -> similarity_threshold | anchor inferred from trace_ts_mean
