timestamp,stage,dataset,method,base_rank,paper_param,config_key,anchor_value,anchor_grid_robust,sweep_value,is_anchor,run_idx,num_runs,F1Mi_mean,F1Mi_std,F1Ma_mean,F1Ma_std,within_run_F1Mi_std_mean,within_run_F1Ma_std_mean,robust_score,robust_score_std,trace_ts_mean,trace_ts_last,trace_mined_pairs_mean,trace_mined_pairs_last,trace_avg_pairs_mean,trace_avg_pairs_last,delta_vs_anchor,top_params_csv,base_params_json,trial_params_json,notes
2026/4/20 18:26,run,PubMed,ifl-gc,1,t_s,similarity_threshold,0.896,0.7995,0.876,FALSE,1,,0.7973,0.0036,0.7973,0.0036,,,0.7955,,0.876,0.876,18291.94,17794,6.0968,5.93,,results/grid_search_iflgc_pubmed_results.csv,"{""timestamp"": ""2026-04-10 20:45:36"", ""gca_drop_scheme"": ""degree"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.3"", ""iflgc_refl_du_weight"": ""0.4"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.802100"", ""F1Mi_std"": ""0.005200"", ""F1Ma_mean"": ""0.801000"", ""F1Ma_std"": ""0.006100"", ""robust_score"": ""0.799500"", ""delta_vs_grace"": ""0.024350""}","{""timestamp"": ""2026-04-10 20:45:36"", ""gca_drop_scheme"": ""degree"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.3"", ""iflgc_refl_du_weight"": ""0.4"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.802100"", ""F1Mi_std"": ""0.005200"", ""F1Ma_mean"": ""0.801000"", ""F1Ma_std"": ""0.006100"", ""robust_score"": ""0.799500"", ""delta_vs_grace"": ""0.024350"", ""similarity_threshold"": ""0.876""}",t_s -> similarity_threshold | anchor inferred from trace_ts_mean
2026/4/20 18:32,run,PubMed,ifl-gc,1,t_s,similarity_threshold,0.896,0.7995,0.876,FALSE,2,,0.7836,0.0059,0.7842,0.0066,,,0.78065,,0.876,0.876,18290.32,17776,6.0971,5.93,,results/grid_search_iflgc_pubmed_results.csv,"{""timestamp"": ""2026-04-10 20:45:36"", ""gca_drop_scheme"": ""degree"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.3"", ""iflgc_refl_du_weight"": ""0.4"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.802100"", ""F1Mi_std"": ""0.005200"", ""F1Ma_mean"": ""0.801000"", ""F1Ma_std"": ""0.006100"", ""robust_score"": ""0.799500"", ""delta_vs_grace"": ""0.024350""}","{""timestamp"": ""2026-04-10 20:45:36"", ""gca_drop_scheme"": ""degree"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.3"", ""iflgc_refl_du_weight"": ""0.4"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.802100"", ""F1Mi_std"": ""0.005200"", ""F1Ma_mean"": ""0.801000"", ""F1Ma_std"": ""0.006100"", ""robust_score"": ""0.799500"", ""delta_vs_grace"": ""0.024350"", ""similarity_threshold"": ""0.876""}",t_s -> similarity_threshold | anchor inferred from trace_ts_mean
2026/4/20 18:39,run,PubMed,ifl-gc,1,t_s,similarity_threshold,0.896,0.7995,0.876,FALSE,3,,0.7964,0.0033,0.7964,0.003,,,0.79475,,0.876,0.876,18290.1,17784,6.0968,5.93,,results/grid_search_iflgc_pubmed_results.csv,"{""timestamp"": ""2026-04-10 20:45:36"", ""gca_drop_scheme"": ""degree"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.3"", ""iflgc_refl_du_weight"": ""0.4"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.802100"", ""F1Mi_std"": ""0.005200"", ""F1Ma_mean"": ""0.801000"", ""F1Ma_std"": ""0.006100"", ""robust_score"": ""0.799500"", ""delta_vs_grace"": ""0.024350""}","{""timestamp"": ""2026-04-10 20:45:36"", ""gca_drop_scheme"": ""degree"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.3"", ""iflgc_refl_du_weight"": ""0.4"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.802100"", ""F1Mi_std"": ""0.005200"", ""F1Ma_mean"": ""0.801000"", ""F1Ma_std"": ""0.006100"", ""robust_score"": ""0.799500"", ""delta_vs_grace"": ""0.024350"", ""similarity_threshold"": ""0.876""}",t_s -> similarity_threshold | anchor inferred from trace_ts_mean
2026/4/20 18:45,run,PubMed,ifl-gc,1,t_s,similarity_threshold,0.896,0.7995,0.886,FALSE,1,,0.7986,0.0026,0.7979,0.0022,,,0.7973,,0.886,0.886,16811.02,16000,5.6033,5.33,,results/grid_search_iflgc_pubmed_results.csv,"{""timestamp"": ""2026-04-10 20:45:36"", ""gca_drop_scheme"": ""degree"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.3"", ""iflgc_refl_du_weight"": ""0.4"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.802100"", ""F1Mi_std"": ""0.005200"", ""F1Ma_mean"": ""0.801000"", ""F1Ma_std"": ""0.006100"", ""robust_score"": ""0.799500"", ""delta_vs_grace"": ""0.024350""}","{""timestamp"": ""2026-04-10 20:45:36"", ""gca_drop_scheme"": ""degree"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.3"", ""iflgc_refl_du_weight"": ""0.4"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.802100"", ""F1Mi_std"": ""0.005200"", ""F1Ma_mean"": ""0.801000"", ""F1Ma_std"": ""0.006100"", ""robust_score"": ""0.799500"", ""delta_vs_grace"": ""0.024350"", ""similarity_threshold"": ""0.886""}",t_s -> similarity_threshold | anchor inferred from trace_ts_mean
2026/4/20 18:52,run,PubMed,ifl-gc,1,t_s,similarity_threshold,0.896,0.7995,0.886,FALSE,2,,0.7995,0.0076,0.8007,0.0072,,,0.7957,,0.886,0.886,16810.76,16004,5.6033,5.33,,results/grid_search_iflgc_pubmed_results.csv,"{""timestamp"": ""2026-04-10 20:45:36"", ""gca_drop_scheme"": ""degree"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.3"", ""iflgc_refl_du_weight"": ""0.4"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.802100"", ""F1Mi_std"": ""0.005200"", ""F1Ma_mean"": ""0.801000"", ""F1Ma_std"": ""0.006100"", ""robust_score"": ""0.799500"", ""delta_vs_grace"": ""0.024350""}","{""timestamp"": ""2026-04-10 20:45:36"", ""gca_drop_scheme"": ""degree"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.3"", ""iflgc_refl_du_weight"": ""0.4"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.802100"", ""F1Mi_std"": ""0.005200"", ""F1Ma_mean"": ""0.801000"", ""F1Ma_std"": ""0.006100"", ""robust_score"": ""0.799500"", ""delta_vs_grace"": ""0.024350"", ""similarity_threshold"": ""0.886""}",t_s -> similarity_threshold | anchor inferred from trace_ts_mean
2026/4/20 18:58,run,PubMed,ifl-gc,1,t_s,similarity_threshold,0.896,0.7995,0.886,FALSE,3,,0.7927,0.0029,0.7921,0.0015,,,0.79125,,0.886,0.886,16810.78,16012,5.6037,5.34,,results/grid_search_iflgc_pubmed_results.csv,"{""timestamp"": ""2026-04-10 20:45:36"", ""gca_drop_scheme"": ""degree"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.3"", ""iflgc_refl_du_weight"": ""0.4"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.802100"", ""F1Mi_std"": ""0.005200"", ""F1Ma_mean"": ""0.801000"", ""F1Ma_std"": ""0.006100"", ""robust_score"": ""0.799500"", ""delta_vs_grace"": ""0.024350""}","{""timestamp"": ""2026-04-10 20:45:36"", ""gca_drop_scheme"": ""degree"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.3"", ""iflgc_refl_du_weight"": ""0.4"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.802100"", ""F1Mi_std"": ""0.005200"", ""F1Ma_mean"": ""0.801000"", ""F1Ma_std"": ""0.006100"", ""robust_score"": ""0.799500"", ""delta_vs_grace"": ""0.024350"", ""similarity_threshold"": ""0.886""}",t_s -> similarity_threshold | anchor inferred from trace_ts_mean
2026/4/20 19:04,run,PubMed,ifl-gc,1,t_s,similarity_threshold,0.896,0.7995,0.896,TRUE,1,,0.8019,0.0029,0.7995,0.0047,,,0.80045,,0.896,0.896,14974.74,13986,4.9909,4.66,,results/grid_search_iflgc_pubmed_results.csv,"{""timestamp"": ""2026-04-10 20:45:36"", ""gca_drop_scheme"": ""degree"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.3"", ""iflgc_refl_du_weight"": ""0.4"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.802100"", ""F1Mi_std"": ""0.005200"", ""F1Ma_mean"": ""0.801000"", ""F1Ma_std"": ""0.006100"", ""robust_score"": ""0.799500"", ""delta_vs_grace"": ""0.024350""}","{""timestamp"": ""2026-04-10 20:45:36"", ""gca_drop_scheme"": ""degree"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.3"", ""iflgc_refl_du_weight"": ""0.4"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.802100"", ""F1Mi_std"": ""0.005200"", ""F1Ma_mean"": ""0.801000"", ""F1Ma_std"": ""0.006100"", ""robust_score"": ""0.799500"", ""delta_vs_grace"": ""0.024350"", ""similarity_threshold"": ""0.896""}",t_s -> similarity_threshold | anchor inferred from trace_ts_mean
2026/4/20 19:11,run,PubMed,ifl-gc,1,t_s,similarity_threshold,0.896,0.7995,0.896,TRUE,2,,0.7936,0.0032,0.793,0.002,,,0.792,,0.896,0.896,14973.22,13996,4.991,4.67,,results/grid_search_iflgc_pubmed_results.csv,"{""timestamp"": ""2026-04-10 20:45:36"", ""gca_drop_scheme"": ""degree"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.3"", ""iflgc_refl_du_weight"": ""0.4"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.802100"", ""F1Mi_std"": ""0.005200"", ""F1Ma_mean"": ""0.801000"", ""F1Ma_std"": ""0.006100"", ""robust_score"": ""0.799500"", ""delta_vs_grace"": ""0.024350""}","{""timestamp"": ""2026-04-10 20:45:36"", ""gca_drop_scheme"": ""degree"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.3"", ""iflgc_refl_du_weight"": ""0.4"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.802100"", ""F1Mi_std"": ""0.005200"", ""F1Ma_mean"": ""0.801000"", ""F1Ma_std"": ""0.006100"", ""robust_score"": ""0.799500"", ""delta_vs_grace"": ""0.024350"", ""similarity_threshold"": ""0.896""}",t_s -> similarity_threshold | anchor inferred from trace_ts_mean
2026/4/20 19:17,run,PubMed,ifl-gc,1,t_s,similarity_threshold,0.896,0.7995,0.896,TRUE,3,,0.7981,0.0027,0.7972,0.0029,,,0.79675,,0.896,0.896,14974.3,13990,4.9912,4.66,,results/grid_search_iflgc_pubmed_results.csv,"{""timestamp"": ""2026-04-10 20:45:36"", ""gca_drop_scheme"": ""degree"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.3"", ""iflgc_refl_du_weight"": ""0.4"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.802100"", ""F1Mi_std"": ""0.005200"", ""F1Ma_mean"": ""0.801000"", ""F1Ma_std"": ""0.006100"", ""robust_score"": ""0.799500"", ""delta_vs_grace"": ""0.024350""}","{""timestamp"": ""2026-04-10 20:45:36"", ""gca_drop_scheme"": ""degree"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.3"", ""iflgc_refl_du_weight"": ""0.4"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.802100"", ""F1Mi_std"": ""0.005200"", ""F1Ma_mean"": ""0.801000"", ""F1Ma_std"": ""0.006100"", ""robust_score"": ""0.799500"", ""delta_vs_grace"": ""0.024350"", ""similarity_threshold"": ""0.896""}",t_s -> similarity_threshold | anchor inferred from trace_ts_mean
2026/4/20 19:22,run,PubMed,ifl-gc,1,t_s,similarity_threshold,0.896,0.7995,0.906,FALSE,1,,0.7937,0.0015,0.7951,0.001,,,0.79295,,0.906,0.906,12800.56,11674,4.2668,3.89,,results/grid_search_iflgc_pubmed_results.csv,"{""timestamp"": ""2026-04-10 20:45:36"", ""gca_drop_scheme"": ""degree"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.3"", ""iflgc_refl_du_weight"": ""0.4"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.802100"", ""F1Mi_std"": ""0.005200"", ""F1Ma_mean"": ""0.801000"", ""F1Ma_std"": ""0.006100"", ""robust_score"": ""0.799500"", ""delta_vs_grace"": ""0.024350""}","{""timestamp"": ""2026-04-10 20:45:36"", ""gca_drop_scheme"": ""degree"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""14"", ""unlabeled_weight"": ""0.3"", ""iflgc_refl_du_weight"": ""0.4"", ""warmup_epochs"": ""100"", ""tau"": ""0.3"", ""drop_edge_rate_1"": ""0.3"", ""drop_edge_rate_2"": ""0.5"", ""drop_feature_rate_1"": ""0.3"", ""drop_feature_rate_2"": ""0.4"", ""update_interval"": ""3"", ""beta"": ""2.2"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""20"", ""gca_pr_k"": ""200"", ""F1Mi_mean"": ""0.802100"", ""F1Mi_std"": ""0.005200"", ""F1Ma_mean"": ""0.801000"", ""F1Ma_std"": ""0.006100"", ""robust_score"": ""0.799500"", ""delta_vs_grace"": ""0.024350"", ""similarity_threshold"": ""0.906""}",t_s -> similarity_threshold | anchor inferred from trace_ts_mean
