timestamp,stage,dataset,method,base_rank,paper_param,config_key,anchor_value,anchor_grid_robust,sweep_value,is_anchor,run_idx,num_runs,F1Mi_mean,F1Mi_std,F1Ma_mean,F1Ma_std,within_run_F1Mi_std_mean,within_run_F1Ma_std_mean,robust_score,robust_score_std,trace_ts_mean,trace_ts_last,trace_mined_pairs_mean,trace_mined_pairs_last,trace_avg_pairs_mean,trace_avg_pairs_last,delta_vs_anchor,top_params_csv,base_params_json,trial_params_json,notes
2026-04-20 14:41:12,run,CiteSeer,sg-gr,1,t_s,similarity_threshold,0.992,0.715950,0.972,False,1,,0.708200,0.006500,0.628400,0.008100,,,0.704950,,0.972000,0.972000,17226.714286,17456.000000,5.177571,5.250000,,results/grid_search_sggr_citeseer_results.csv,"{""timestamp"": ""2026-04-10 12:38:48"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""8"", ""unlabeled_weight"": ""0.5"", ""warmup_epochs"": ""60"", ""tau"": ""0.7"", ""update_interval"": ""3"", ""beta"": ""2.5"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""30"", ""F1Mi_mean"": ""0.717000"", ""F1Mi_std"": ""0.002100"", ""F1Ma_mean"": ""0.639400"", ""F1Ma_std"": ""0.006500"", ""robust_score"": ""0.715950"", ""delta_vs_grace"": ""0.006950""}","{""timestamp"": ""2026-04-10 12:38:48"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""8"", ""unlabeled_weight"": ""0.5"", ""warmup_epochs"": ""60"", ""tau"": ""0.7"", ""update_interval"": ""3"", ""beta"": ""2.5"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""30"", ""F1Mi_mean"": ""0.717000"", ""F1Mi_std"": ""0.002100"", ""F1Ma_mean"": ""0.639400"", ""F1Ma_std"": ""0.006500"", ""robust_score"": ""0.715950"", ""delta_vs_grace"": ""0.006950"", ""similarity_threshold"": ""0.972""}",t_s -> similarity_threshold | anchor inferred from trace_ts_mean
2026-04-20 14:41:37,run,CiteSeer,sg-gr,1,t_s,similarity_threshold,0.992,0.715950,0.972,False,2,,0.696300,0.010500,0.629500,0.005600,,,0.691050,,0.972000,0.972000,17237.028571,17524.000000,5.181714,5.270000,,results/grid_search_sggr_citeseer_results.csv,"{""timestamp"": ""2026-04-10 12:38:48"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""8"", ""unlabeled_weight"": ""0.5"", ""warmup_epochs"": ""60"", ""tau"": ""0.7"", ""update_interval"": ""3"", ""beta"": ""2.5"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""30"", ""F1Mi_mean"": ""0.717000"", ""F1Mi_std"": ""0.002100"", ""F1Ma_mean"": ""0.639400"", ""F1Ma_std"": ""0.006500"", ""robust_score"": ""0.715950"", ""delta_vs_grace"": ""0.006950""}","{""timestamp"": ""2026-04-10 12:38:48"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""8"", ""unlabeled_weight"": ""0.5"", ""warmup_epochs"": ""60"", ""tau"": ""0.7"", ""update_interval"": ""3"", ""beta"": ""2.5"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""30"", ""F1Mi_mean"": ""0.717000"", ""F1Mi_std"": ""0.002100"", ""F1Ma_mean"": ""0.639400"", ""F1Ma_std"": ""0.006500"", ""robust_score"": ""0.715950"", ""delta_vs_grace"": ""0.006950"", ""similarity_threshold"": ""0.972""}",t_s -> similarity_threshold | anchor inferred from trace_ts_mean
2026-04-20 14:42:03,run,CiteSeer,sg-gr,1,t_s,similarity_threshold,0.992,0.715950,0.972,False,3,,0.704200,0.007400,0.627000,0.023600,,,0.700500,,0.972000,0.972000,17239.814286,17494.000000,5.182214,5.260000,,results/grid_search_sggr_citeseer_results.csv,"{""timestamp"": ""2026-04-10 12:38:48"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""8"", ""unlabeled_weight"": ""0.5"", ""warmup_epochs"": ""60"", ""tau"": ""0.7"", ""update_interval"": ""3"", ""beta"": ""2.5"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""30"", ""F1Mi_mean"": ""0.717000"", ""F1Mi_std"": ""0.002100"", ""F1Ma_mean"": ""0.639400"", ""F1Ma_std"": ""0.006500"", ""robust_score"": ""0.715950"", ""delta_vs_grace"": ""0.006950""}","{""timestamp"": ""2026-04-10 12:38:48"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""8"", ""unlabeled_weight"": ""0.5"", ""warmup_epochs"": ""60"", ""tau"": ""0.7"", ""update_interval"": ""3"", ""beta"": ""2.5"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""30"", ""F1Mi_mean"": ""0.717000"", ""F1Mi_std"": ""0.002100"", ""F1Ma_mean"": ""0.639400"", ""F1Ma_std"": ""0.006500"", ""robust_score"": ""0.715950"", ""delta_vs_grace"": ""0.006950"", ""similarity_threshold"": ""0.972""}",t_s -> similarity_threshold | anchor inferred from trace_ts_mean
2026-04-20 14:42:28,run,CiteSeer,sg-gr,1,t_s,similarity_threshold,0.992,0.715950,0.982,False,1,,0.698900,0.004300,0.616100,0.012000,,,0.696750,,0.982000,0.982000,16962.271429,17170.000000,5.098714,5.160000,,results/grid_search_sggr_citeseer_results.csv,"{""timestamp"": ""2026-04-10 12:38:48"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""8"", ""unlabeled_weight"": ""0.5"", ""warmup_epochs"": ""60"", ""tau"": ""0.7"", ""update_interval"": ""3"", ""beta"": ""2.5"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""30"", ""F1Mi_mean"": ""0.717000"", ""F1Mi_std"": ""0.002100"", ""F1Ma_mean"": ""0.639400"", ""F1Ma_std"": ""0.006500"", ""robust_score"": ""0.715950"", ""delta_vs_grace"": ""0.006950""}","{""timestamp"": ""2026-04-10 12:38:48"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""8"", ""unlabeled_weight"": ""0.5"", ""warmup_epochs"": ""60"", ""tau"": ""0.7"", ""update_interval"": ""3"", ""beta"": ""2.5"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""30"", ""F1Mi_mean"": ""0.717000"", ""F1Mi_std"": ""0.002100"", ""F1Ma_mean"": ""0.639400"", ""F1Ma_std"": ""0.006500"", ""robust_score"": ""0.715950"", ""delta_vs_grace"": ""0.006950"", ""similarity_threshold"": ""0.982""}",t_s -> similarity_threshold | anchor inferred from trace_ts_mean
2026-04-20 14:42:53,run,CiteSeer,sg-gr,1,t_s,similarity_threshold,0.992,0.715950,0.982,False,2,,0.700900,0.010000,0.639900,0.011900,,,0.695900,,0.982000,0.982000,16969.714286,17154.000000,5.100429,5.160000,,results/grid_search_sggr_citeseer_results.csv,"{""timestamp"": ""2026-04-10 12:38:48"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""8"", ""unlabeled_weight"": ""0.5"", ""warmup_epochs"": ""60"", ""tau"": ""0.7"", ""update_interval"": ""3"", ""beta"": ""2.5"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""30"", ""F1Mi_mean"": ""0.717000"", ""F1Mi_std"": ""0.002100"", ""F1Ma_mean"": ""0.639400"", ""F1Ma_std"": ""0.006500"", ""robust_score"": ""0.715950"", ""delta_vs_grace"": ""0.006950""}","{""timestamp"": ""2026-04-10 12:38:48"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""8"", ""unlabeled_weight"": ""0.5"", ""warmup_epochs"": ""60"", ""tau"": ""0.7"", ""update_interval"": ""3"", ""beta"": ""2.5"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""30"", ""F1Mi_mean"": ""0.717000"", ""F1Mi_std"": ""0.002100"", ""F1Ma_mean"": ""0.639400"", ""F1Ma_std"": ""0.006500"", ""robust_score"": ""0.715950"", ""delta_vs_grace"": ""0.006950"", ""similarity_threshold"": ""0.982""}",t_s -> similarity_threshold | anchor inferred from trace_ts_mean
2026-04-20 14:43:19,run,CiteSeer,sg-gr,1,t_s,similarity_threshold,0.992,0.715950,0.982,False,3,,0.705100,0.002700,0.647200,0.003800,,,0.703750,,0.982000,0.982000,16968.400000,17176.000000,5.100429,5.160000,,results/grid_search_sggr_citeseer_results.csv,"{""timestamp"": ""2026-04-10 12:38:48"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""8"", ""unlabeled_weight"": ""0.5"", ""warmup_epochs"": ""60"", ""tau"": ""0.7"", ""update_interval"": ""3"", ""beta"": ""2.5"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""30"", ""F1Mi_mean"": ""0.717000"", ""F1Mi_std"": ""0.002100"", ""F1Ma_mean"": ""0.639400"", ""F1Ma_std"": ""0.006500"", ""robust_score"": ""0.715950"", ""delta_vs_grace"": ""0.006950""}","{""timestamp"": ""2026-04-10 12:38:48"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""8"", ""unlabeled_weight"": ""0.5"", ""warmup_epochs"": ""60"", ""tau"": ""0.7"", ""update_interval"": ""3"", ""beta"": ""2.5"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""30"", ""F1Mi_mean"": ""0.717000"", ""F1Mi_std"": ""0.002100"", ""F1Ma_mean"": ""0.639400"", ""F1Ma_std"": ""0.006500"", ""robust_score"": ""0.715950"", ""delta_vs_grace"": ""0.006950"", ""similarity_threshold"": ""0.982""}",t_s -> similarity_threshold | anchor inferred from trace_ts_mean
2026-04-20 14:43:44,run,CiteSeer,sg-gr,1,t_s,similarity_threshold,0.992,0.715950,0.992,True,1,,0.705800,0.003400,0.640000,0.007200,,,0.704100,,0.992000,0.992000,14340.742857,14608.000000,4.310071,4.390000,,results/grid_search_sggr_citeseer_results.csv,"{""timestamp"": ""2026-04-10 12:38:48"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""8"", ""unlabeled_weight"": ""0.5"", ""warmup_epochs"": ""60"", ""tau"": ""0.7"", ""update_interval"": ""3"", ""beta"": ""2.5"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""30"", ""F1Mi_mean"": ""0.717000"", ""F1Mi_std"": ""0.002100"", ""F1Ma_mean"": ""0.639400"", ""F1Ma_std"": ""0.006500"", ""robust_score"": ""0.715950"", ""delta_vs_grace"": ""0.006950""}","{""timestamp"": ""2026-04-10 12:38:48"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""8"", ""unlabeled_weight"": ""0.5"", ""warmup_epochs"": ""60"", ""tau"": ""0.7"", ""update_interval"": ""3"", ""beta"": ""2.5"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""30"", ""F1Mi_mean"": ""0.717000"", ""F1Mi_std"": ""0.002100"", ""F1Ma_mean"": ""0.639400"", ""F1Ma_std"": ""0.006500"", ""robust_score"": ""0.715950"", ""delta_vs_grace"": ""0.006950"", ""similarity_threshold"": ""0.992""}",t_s -> similarity_threshold | anchor inferred from trace_ts_mean
2026-04-20 14:44:09,run,CiteSeer,sg-gr,1,t_s,similarity_threshold,0.992,0.715950,0.992,True,2,,0.698900,0.009900,0.631500,0.006300,,,0.693950,,0.992000,0.992000,14336.785714,14598.000000,4.309429,4.390000,,results/grid_search_sggr_citeseer_results.csv,"{""timestamp"": ""2026-04-10 12:38:48"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""8"", ""unlabeled_weight"": ""0.5"", ""warmup_epochs"": ""60"", ""tau"": ""0.7"", ""update_interval"": ""3"", ""beta"": ""2.5"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""30"", ""F1Mi_mean"": ""0.717000"", ""F1Mi_std"": ""0.002100"", ""F1Ma_mean"": ""0.639400"", ""F1Ma_std"": ""0.006500"", ""robust_score"": ""0.715950"", ""delta_vs_grace"": ""0.006950""}","{""timestamp"": ""2026-04-10 12:38:48"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""8"", ""unlabeled_weight"": ""0.5"", ""warmup_epochs"": ""60"", ""tau"": ""0.7"", ""update_interval"": ""3"", ""beta"": ""2.5"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""30"", ""F1Mi_mean"": ""0.717000"", ""F1Mi_std"": ""0.002100"", ""F1Ma_mean"": ""0.639400"", ""F1Ma_std"": ""0.006500"", ""robust_score"": ""0.715950"", ""delta_vs_grace"": ""0.006950"", ""similarity_threshold"": ""0.992""}",t_s -> similarity_threshold | anchor inferred from trace_ts_mean
2026-04-20 14:44:34,run,CiteSeer,sg-gr,1,t_s,similarity_threshold,0.992,0.715950,0.992,True,3,,0.708500,0.002600,0.613600,0.002200,,,0.707200,,0.992000,0.992000,14344.042857,14596.000000,4.310929,4.390000,,results/grid_search_sggr_citeseer_results.csv,"{""timestamp"": ""2026-04-10 12:38:48"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""8"", ""unlabeled_weight"": ""0.5"", ""warmup_epochs"": ""60"", ""tau"": ""0.7"", ""update_interval"": ""3"", ""beta"": ""2.5"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""30"", ""F1Mi_mean"": ""0.717000"", ""F1Mi_std"": ""0.002100"", ""F1Ma_mean"": ""0.639400"", ""F1Ma_std"": ""0.006500"", ""robust_score"": ""0.715950"", ""delta_vs_grace"": ""0.006950""}","{""timestamp"": ""2026-04-10 12:38:48"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""8"", ""unlabeled_weight"": ""0.5"", ""warmup_epochs"": ""60"", ""tau"": ""0.7"", ""update_interval"": ""3"", ""beta"": ""2.5"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""30"", ""F1Mi_mean"": ""0.717000"", ""F1Mi_std"": ""0.002100"", ""F1Ma_mean"": ""0.639400"", ""F1Ma_std"": ""0.006500"", ""robust_score"": ""0.715950"", ""delta_vs_grace"": ""0.006950"", ""similarity_threshold"": ""0.992""}",t_s -> similarity_threshold | anchor inferred from trace_ts_mean
2026-04-20 14:44:59,run,CiteSeer,sg-gr,1,t_s,similarity_threshold,0.992,0.715950,1.0,False,1,,0.709100,0.012900,0.638300,0.014300,,,0.702650,,1.000000,1.000000,266.614286,240.000000,0.080286,0.070000,,results/grid_search_sggr_citeseer_results.csv,"{""timestamp"": ""2026-04-10 12:38:48"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""8"", ""unlabeled_weight"": ""0.5"", ""warmup_epochs"": ""60"", ""tau"": ""0.7"", ""update_interval"": ""3"", ""beta"": ""2.5"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""30"", ""F1Mi_mean"": ""0.717000"", ""F1Mi_std"": ""0.002100"", ""F1Ma_mean"": ""0.639400"", ""F1Ma_std"": ""0.006500"", ""robust_score"": ""0.715950"", ""delta_vs_grace"": ""0.006950""}","{""timestamp"": ""2026-04-10 12:38:48"", ""similarity_percentile"": ""99.5"", ""max_du_per_node"": ""8"", ""unlabeled_weight"": ""0.5"", ""warmup_epochs"": ""60"", ""tau"": ""0.7"", ""update_interval"": ""3"", ""beta"": ""2.5"", ""use_mutual_topk"": ""True"", ""corrected_ramp_epochs"": ""30"", ""F1Mi_mean"": ""0.717000"", ""F1Mi_std"": ""0.002100"", ""F1Ma_mean"": ""0.639400"", ""F1Ma_std"": ""0.006500"", ""robust_score"": ""0.715950"", ""delta_vs_grace"": ""0.006950"", ""similarity_threshold"": ""1.0""}",t_s -> similarity_threshold | anchor inferred from trace_ts_mean
