timestamp,stage,dataset,method,run_idx,seed,eval_seed,num_runs,F1Mi_mean,F1Mi_std,F1Ma_mean,F1Ma_std,robust_score,robust_score_std,params_json,metric,baseline_method,target_method,test_name,n_pairs,mean_delta,median_delta,ci95_low,ci95_high,p_value,p_value_holm,p_value_paired_ttest,effect_size,effect_size_name,cohen_dz,rank_biserial,significant,notes
2026-05-22 00:55:32,run,CiteSeer,grace,1,38109,38109,,0.717200,0.001900,0.634000,0.009700,0.716250,,"{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""eval_repeats"": 3, ""eval_seed"": 38109, ""seed"": 38109, ""tau"": 0.9}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=0; base_robust=0.704833
2026-05-22 00:55:59,run,CiteSeer,grace,2,38110,38110,,0.694900,0.007400,0.611500,0.007600,0.691200,,"{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""eval_repeats"": 3, ""eval_seed"": 38110, ""seed"": 38110, ""tau"": 0.9}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=0; base_robust=0.704833
2026-05-22 00:56:26,run,CiteSeer,grace,3,38111,38111,,0.724800,0.001300,0.648700,0.017000,0.724150,,"{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""eval_repeats"": 3, ""eval_seed"": 38111, ""seed"": 38111, ""tau"": 0.9}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=0; base_robust=0.704833
2026-05-22 00:56:53,run,CiteSeer,grace,4,38112,38112,,0.717900,0.009000,0.654000,0.017300,0.713400,,"{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""eval_repeats"": 3, ""eval_seed"": 38112, ""seed"": 38112, ""tau"": 0.9}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=0; base_robust=0.704833
2026-05-22 00:57:19,run,CiteSeer,grace,5,38113,38113,,0.709800,0.002700,0.656400,0.001600,0.708450,,"{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""eval_repeats"": 3, ""eval_seed"": 38113, ""seed"": 38113, ""tau"": 0.9}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=0; base_robust=0.704833
2026-05-22 00:57:46,run,CiteSeer,grace,6,38114,38114,,0.717400,0.006800,0.662800,0.004300,0.714000,,"{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""eval_repeats"": 3, ""eval_seed"": 38114, ""seed"": 38114, ""tau"": 0.9}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=0; base_robust=0.704833
2026-05-22 00:58:14,run,CiteSeer,grace,7,38115,38115,,0.718300,0.006000,0.660200,0.009100,0.715300,,"{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""eval_repeats"": 3, ""eval_seed"": 38115, ""seed"": 38115, ""tau"": 0.9}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=0; base_robust=0.704833
2026-05-22 00:58:41,run,CiteSeer,grace,8,38116,38116,,0.713100,0.006900,0.659300,0.012100,0.709650,,"{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""eval_repeats"": 3, ""eval_seed"": 38116, ""seed"": 38116, ""tau"": 0.9}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=0; base_robust=0.704833
2026-05-22 00:59:08,run,CiteSeer,grace,9,38117,38117,,0.716300,0.007400,0.648000,0.011200,0.712600,,"{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""eval_repeats"": 3, ""eval_seed"": 38117, ""seed"": 38117, ""tau"": 0.9}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=0; base_robust=0.704833
2026-05-22 00:59:36,run,CiteSeer,grace,10,38118,38118,,0.719900,0.005800,0.646000,0.006000,0.717000,,"{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""eval_repeats"": 3, ""eval_seed"": 38118, ""seed"": 38118, ""tau"": 0.9}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=0; base_robust=0.704833
