timestamp,stage,dataset,method,run_idx,seed,eval_seed,num_runs,F1Mi_mean,F1Mi_std,F1Ma_mean,F1Ma_std,robust_score,robust_score_std,params_json,metric,baseline_method,target_method,test_name,n_pairs,mean_delta,median_delta,ci95_low,ci95_high,p_value,p_value_holm,p_value_paired_ttest,effect_size,effect_size_name,cohen_dz,rank_biserial,significant,notes
2026-05-22 08:27:59,run,DBLP,grace,1,83522,83522,,0.704200,0.010000,0.628000,0.007000,0.699200,,"{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.7, ""drop_feature_rate_1"": 0.6, ""drop_feature_rate_2"": 0.7, ""eval_repeats"": 3, ""eval_seed"": 83522, ""seed"": 83522, ""tau"": 0.3}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/dblp_full_pipeline_results.csv; base_rank=0; base_robust=0.705017
2026-05-22 08:28:15,run,DBLP,grace,2,83523,83523,,0.703500,0.005500,0.617500,0.011700,0.700750,,"{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.7, ""drop_feature_rate_1"": 0.6, ""drop_feature_rate_2"": 0.7, ""eval_repeats"": 3, ""eval_seed"": 83523, ""seed"": 83523, ""tau"": 0.3}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/dblp_full_pipeline_results.csv; base_rank=0; base_robust=0.705017
2026-05-22 08:28:32,run,DBLP,grace,3,83524,83524,,0.703700,0.008800,0.609000,0.025900,0.699300,,"{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.7, ""drop_feature_rate_1"": 0.6, ""drop_feature_rate_2"": 0.7, ""eval_repeats"": 3, ""eval_seed"": 83524, ""seed"": 83524, ""tau"": 0.3}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/dblp_full_pipeline_results.csv; base_rank=0; base_robust=0.705017
2026-05-22 08:28:49,run,DBLP,grace,4,83525,83525,,0.706400,0.016200,0.599000,0.053900,0.698300,,"{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.7, ""drop_feature_rate_1"": 0.6, ""drop_feature_rate_2"": 0.7, ""eval_repeats"": 3, ""eval_seed"": 83525, ""seed"": 83525, ""tau"": 0.3}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/dblp_full_pipeline_results.csv; base_rank=0; base_robust=0.705017
2026-05-22 08:29:06,run,DBLP,grace,5,83526,83526,,0.698300,0.015900,0.597600,0.016200,0.690350,,"{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.7, ""drop_feature_rate_1"": 0.6, ""drop_feature_rate_2"": 0.7, ""eval_repeats"": 3, ""eval_seed"": 83526, ""seed"": 83526, ""tau"": 0.3}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/dblp_full_pipeline_results.csv; base_rank=0; base_robust=0.705017
2026-05-22 08:29:22,run,DBLP,grace,6,83527,83527,,0.723200,0.005100,0.628000,0.005200,0.720650,,"{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.7, ""drop_feature_rate_1"": 0.6, ""drop_feature_rate_2"": 0.7, ""eval_repeats"": 3, ""eval_seed"": 83527, ""seed"": 83527, ""tau"": 0.3}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/dblp_full_pipeline_results.csv; base_rank=0; base_robust=0.705017
2026-05-22 08:29:39,run,DBLP,grace,7,83528,83528,,0.710900,0.026000,0.629500,0.029200,0.697900,,"{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.7, ""drop_feature_rate_1"": 0.6, ""drop_feature_rate_2"": 0.7, ""eval_repeats"": 3, ""eval_seed"": 83528, ""seed"": 83528, ""tau"": 0.3}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/dblp_full_pipeline_results.csv; base_rank=0; base_robust=0.705017
2026-05-22 08:29:55,run,DBLP,grace,8,83529,83529,,0.716500,0.006600,0.638300,0.011700,0.713200,,"{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.7, ""drop_feature_rate_1"": 0.6, ""drop_feature_rate_2"": 0.7, ""eval_repeats"": 3, ""eval_seed"": 83529, ""seed"": 83529, ""tau"": 0.3}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/dblp_full_pipeline_results.csv; base_rank=0; base_robust=0.705017
2026-05-22 08:30:12,run,DBLP,grace,9,83530,83530,,0.710700,0.010700,0.618800,0.038800,0.705350,,"{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.7, ""drop_feature_rate_1"": 0.6, ""drop_feature_rate_2"": 0.7, ""eval_repeats"": 3, ""eval_seed"": 83530, ""seed"": 83530, ""tau"": 0.3}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/dblp_full_pipeline_results.csv; base_rank=0; base_robust=0.705017
2026-05-22 08:30:28,run,DBLP,grace,10,83531,83531,,0.727700,0.006100,0.638700,0.010100,0.724650,,"{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.7, ""drop_feature_rate_1"": 0.6, ""drop_feature_rate_2"": 0.7, ""eval_repeats"": 3, ""eval_seed"": 83531, ""seed"": 83531, ""tau"": 0.3}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/dblp_full_pipeline_results.csv; base_rank=0; base_robust=0.705017
