timestamp,stage,dataset,method,run_idx,seed,eval_seed,num_runs,F1Mi_mean,F1Mi_std,F1Ma_mean,F1Ma_std,robust_score,robust_score_std,params_json,metric,baseline_method,target_method,test_name,n_pairs,mean_delta,median_delta,ci95_low,ci95_high,p_value,p_value_holm,p_value_paired_ttest,effect_size,effect_size_name,cohen_dz,rank_biserial,significant,notes
2026-05-22 01:13:43,run,PubMed,grace,1,23345,23345,,0.780600,0.010200,0.781400,0.010800,0.775500,,"{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.6, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""eval_repeats"": 3, ""eval_seed"": 23345, ""seed"": 23345, ""tau"": 0.8}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=0; base_robust=0.769717
2026-05-22 01:13:58,run,PubMed,grace,2,23346,23346,,0.756700,0.011700,0.757200,0.012100,0.750850,,"{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.6, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""eval_repeats"": 3, ""eval_seed"": 23346, ""seed"": 23346, ""tau"": 0.8}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=0; base_robust=0.769717
2026-05-22 01:14:15,run,PubMed,grace,3,23347,23347,,0.788800,0.006200,0.788400,0.006000,0.785700,,"{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.6, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""eval_repeats"": 3, ""eval_seed"": 23347, ""seed"": 23347, ""tau"": 0.8}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=0; base_robust=0.769717
2026-05-22 01:14:30,run,PubMed,grace,4,23348,23348,,0.792300,0.004100,0.792700,0.003300,0.790250,,"{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.6, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""eval_repeats"": 3, ""eval_seed"": 23348, ""seed"": 23348, ""tau"": 0.8}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=0; base_robust=0.769717
2026-05-22 01:14:46,run,PubMed,grace,5,23349,23349,,0.783700,0.007300,0.784200,0.005100,0.780050,,"{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.6, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""eval_repeats"": 3, ""eval_seed"": 23349, ""seed"": 23349, ""tau"": 0.8}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=0; base_robust=0.769717
2026-05-22 01:15:02,run,PubMed,grace,6,23350,23350,,0.783800,0.005600,0.784300,0.005800,0.781000,,"{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.6, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""eval_repeats"": 3, ""eval_seed"": 23350, ""seed"": 23350, ""tau"": 0.8}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=0; base_robust=0.769717
2026-05-22 01:15:17,run,PubMed,grace,7,23351,23351,,0.761700,0.002700,0.764300,0.003500,0.760350,,"{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.6, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""eval_repeats"": 3, ""eval_seed"": 23351, ""seed"": 23351, ""tau"": 0.8}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=0; base_robust=0.769717
2026-05-22 01:15:33,run,PubMed,grace,8,23352,23352,,0.782300,0.004400,0.782300,0.004800,0.780100,,"{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.6, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""eval_repeats"": 3, ""eval_seed"": 23352, ""seed"": 23352, ""tau"": 0.8}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=0; base_robust=0.769717
2026-05-22 01:15:49,run,PubMed,grace,9,23353,23353,,0.759000,0.015400,0.763000,0.014400,0.751300,,"{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.6, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""eval_repeats"": 3, ""eval_seed"": 23353, ""seed"": 23353, ""tau"": 0.8}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=0; base_robust=0.769717
2026-05-22 01:16:05,run,PubMed,grace,10,23354,23354,,0.784100,0.003100,0.783400,0.004300,0.782550,,"{""drop_edge_rate_1"": 0.5, ""drop_edge_rate_2"": 0.6, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""eval_repeats"": 3, ""eval_seed"": 23354, ""seed"": 23354, ""tau"": 0.8}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=0; base_robust=0.769717
2026-05-22 01:16:21,run,PubMed,gca,1,23345,23345,,0.776200,0.007200,0.776600,0.007100,0.772600,,"{""drop_edge_rate_1"": 0.7, ""drop_edge_rate_2"": 0.7, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""eval_repeats"": 3, ""eval_seed"": 23345, ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": 200, ""seed"": 23345, ""tau"": 0.8}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=1; base_robust=0.777967
2026-05-22 01:16:36,run,PubMed,gca,2,23346,23346,,0.754200,0.008200,0.753500,0.008300,0.750100,,"{""drop_edge_rate_1"": 0.7, ""drop_edge_rate_2"": 0.7, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""eval_repeats"": 3, ""eval_seed"": 23346, ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": 200, ""seed"": 23346, ""tau"": 0.8}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=1; base_robust=0.777967
2026-05-22 01:16:53,run,PubMed,gca,3,23347,23347,,0.789800,0.009100,0.789700,0.008900,0.785250,,"{""drop_edge_rate_1"": 0.7, ""drop_edge_rate_2"": 0.7, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""eval_repeats"": 3, ""eval_seed"": 23347, ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": 200, ""seed"": 23347, ""tau"": 0.8}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=1; base_robust=0.777967
2026-05-22 01:17:08,run,PubMed,gca,4,23348,23348,,0.793200,0.002800,0.792800,0.002600,0.791800,,"{""drop_edge_rate_1"": 0.7, ""drop_edge_rate_2"": 0.7, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""eval_repeats"": 3, ""eval_seed"": 23348, ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": 200, ""seed"": 23348, ""tau"": 0.8}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=1; base_robust=0.777967
2026-05-22 01:17:24,run,PubMed,gca,5,23349,23349,,0.786900,0.007000,0.787800,0.005300,0.783400,,"{""drop_edge_rate_1"": 0.7, ""drop_edge_rate_2"": 0.7, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""eval_repeats"": 3, ""eval_seed"": 23349, ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": 200, ""seed"": 23349, ""tau"": 0.8}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=1; base_robust=0.777967
2026-05-22 01:17:39,run,PubMed,gca,6,23350,23350,,0.786000,0.005900,0.786300,0.006400,0.783050,,"{""drop_edge_rate_1"": 0.7, ""drop_edge_rate_2"": 0.7, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""eval_repeats"": 3, ""eval_seed"": 23350, ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": 200, ""seed"": 23350, ""tau"": 0.8}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=1; base_robust=0.777967
2026-05-22 01:17:55,run,PubMed,gca,7,23351,23351,,0.764400,0.005600,0.766800,0.006000,0.761600,,"{""drop_edge_rate_1"": 0.7, ""drop_edge_rate_2"": 0.7, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""eval_repeats"": 3, ""eval_seed"": 23351, ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": 200, ""seed"": 23351, ""tau"": 0.8}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=1; base_robust=0.777967
2026-05-22 01:18:11,run,PubMed,gca,8,23352,23352,,0.782100,0.002700,0.782800,0.003100,0.780750,,"{""drop_edge_rate_1"": 0.7, ""drop_edge_rate_2"": 0.7, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""eval_repeats"": 3, ""eval_seed"": 23352, ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": 200, ""seed"": 23352, ""tau"": 0.8}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=1; base_robust=0.777967
2026-05-22 01:18:28,run,PubMed,gca,9,23353,23353,,0.757800,0.010900,0.762000,0.010500,0.752350,,"{""drop_edge_rate_1"": 0.7, ""drop_edge_rate_2"": 0.7, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""eval_repeats"": 3, ""eval_seed"": 23353, ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": 200, ""seed"": 23353, ""tau"": 0.8}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=1; base_robust=0.777967
2026-05-22 01:18:44,run,PubMed,gca,10,23354,23354,,0.785700,0.004500,0.785100,0.005600,0.783450,,"{""drop_edge_rate_1"": 0.7, ""drop_edge_rate_2"": 0.7, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""eval_repeats"": 3, ""eval_seed"": 23354, ""gca_drop_scheme"": ""uniform"", ""gca_pr_k"": 200, ""seed"": 23354, ""tau"": 0.8}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=1; base_robust=0.777967
2026-05-22 01:22:01,run,PubMed,ifl-gr,1,23345,23345,,0.806700,0.005000,0.805300,0.006900,0.804200,,"{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""eval_repeats"": 3, ""eval_seed"": 23345, ""max_du_per_node"": 12, ""seed"": 23345, ""similarity_percentile"": 99.7, ""similarity_threshold"": null, ""tau"": 0.3, ""unlabeled_weight"": 0.2, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=2; base_robust=0.793583
2026-05-22 01:25:18,run,PubMed,ifl-gr,2,23346,23346,,0.793500,0.002300,0.792000,0.002600,0.792350,,"{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""eval_repeats"": 3, ""eval_seed"": 23346, ""max_du_per_node"": 12, ""seed"": 23346, ""similarity_percentile"": 99.7, ""similarity_threshold"": null, ""tau"": 0.3, ""unlabeled_weight"": 0.2, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=2; base_robust=0.793583
2026-05-22 01:28:43,run,PubMed,ifl-gr,3,23347,23347,,0.797900,0.004400,0.798300,0.003400,0.795700,,"{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""eval_repeats"": 3, ""eval_seed"": 23347, ""max_du_per_node"": 12, ""seed"": 23347, ""similarity_percentile"": 99.7, ""similarity_threshold"": null, ""tau"": 0.3, ""unlabeled_weight"": 0.2, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=2; base_robust=0.793583
2026-05-22 01:31:54,run,PubMed,ifl-gr,4,23348,23348,,0.794800,0.002000,0.793700,0.002500,0.793800,,"{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""eval_repeats"": 3, ""eval_seed"": 23348, ""max_du_per_node"": 12, ""seed"": 23348, ""similarity_percentile"": 99.7, ""similarity_threshold"": null, ""tau"": 0.3, ""unlabeled_weight"": 0.2, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=2; base_robust=0.793583
2026-05-22 01:35:26,run,PubMed,ifl-gr,5,23349,23349,,0.793500,0.005700,0.793300,0.006200,0.790650,,"{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""eval_repeats"": 3, ""eval_seed"": 23349, ""max_du_per_node"": 12, ""seed"": 23349, ""similarity_percentile"": 99.7, ""similarity_threshold"": null, ""tau"": 0.3, ""unlabeled_weight"": 0.2, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=2; base_robust=0.793583
2026-05-22 01:38:48,run,PubMed,ifl-gr,6,23350,23350,,0.783100,0.007700,0.784000,0.006900,0.779250,,"{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""eval_repeats"": 3, ""eval_seed"": 23350, ""max_du_per_node"": 12, ""seed"": 23350, ""similarity_percentile"": 99.7, ""similarity_threshold"": null, ""tau"": 0.3, ""unlabeled_weight"": 0.2, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=2; base_robust=0.793583
2026-05-22 01:42:15,run,PubMed,ifl-gr,7,23351,23351,,0.800200,0.002700,0.800100,0.003500,0.798850,,"{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""eval_repeats"": 3, ""eval_seed"": 23351, ""max_du_per_node"": 12, ""seed"": 23351, ""similarity_percentile"": 99.7, ""similarity_threshold"": null, ""tau"": 0.3, ""unlabeled_weight"": 0.2, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=2; base_robust=0.793583
2026-05-22 01:45:31,run,PubMed,ifl-gr,8,23352,23352,,0.802500,0.003000,0.803800,0.001600,0.801000,,"{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""eval_repeats"": 3, ""eval_seed"": 23352, ""max_du_per_node"": 12, ""seed"": 23352, ""similarity_percentile"": 99.7, ""similarity_threshold"": null, ""tau"": 0.3, ""unlabeled_weight"": 0.2, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=2; base_robust=0.793583
2026-05-22 01:48:50,run,PubMed,ifl-gr,9,23353,23353,,0.795800,0.005200,0.796000,0.005800,0.793200,,"{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""eval_repeats"": 3, ""eval_seed"": 23353, ""max_du_per_node"": 12, ""seed"": 23353, ""similarity_percentile"": 99.7, ""similarity_threshold"": null, ""tau"": 0.3, ""unlabeled_weight"": 0.2, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=2; base_robust=0.793583
2026-05-22 01:52:12,run,PubMed,ifl-gr,10,23354,23354,,0.801100,0.010200,0.798900,0.010100,0.796000,,"{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""eval_repeats"": 3, ""eval_seed"": 23354, ""max_du_per_node"": 12, ""seed"": 23354, ""similarity_percentile"": 99.7, ""similarity_threshold"": null, ""tau"": 0.3, ""unlabeled_weight"": 0.2, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=2; base_robust=0.793583
2026-05-22 01:58:35,run,PubMed,ifl-gc,1,23345,23345,,0.794000,0.006100,0.793100,0.007500,0.790950,,"{""beta"": 2.2, ""corrected_ramp_epochs"": 20, ""drop_edge_rate_1"": 0.3, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.3, ""drop_feature_rate_2"": 0.4, ""eval_repeats"": 3, ""eval_seed"": 23345, ""gca_drop_scheme"": ""degree"", ""gca_pr_k"": 200, ""iflgc_refl_du_weight"": 0.4, ""max_du_per_node"": 12, ""seed"": 23345, ""similarity_percentile"": 99.5, ""similarity_threshold"": null, ""tau"": 0.3, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 100}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/pubmed_full_pipeline_results.csv; base_rank=2; base_robust=0.796117
